Номер пакета	Время	Давление	Температура	Высота	Состояние
0	0.0	1.26480805335e-313	-5.704427701027032e+32	4.6849833648861614e-299	1
1	1.2510000467300415	99074.55581369362	26.53034019470215	-0.14179029812726895	2
1	1.5789999961853027	99074.55581369362	26.53034019470215	-0.14179029812726895	2
1	1.5789999961853027	99074.55581369362	26.53034019470215	-0.14179029812726895	2
1	1.593999981880188	99074.55581369362	26.53034019470215	-0.14179029812726895	2
1	1.600000023841858	99074.55581369362	26.53034019470215	-0.14179029812726895	2
1	1.600000023841858	99074.55581369362	26.53034019470215	-0.14179029812726895	2
1	1.6139999628067017	99074.55581369362	26.53034019470215	-0.14179029812726895	2
1	1.61899995803833	99074.55581369362	26.53034019470215	-0.14179029812726895	2
1	1.6200000047683716	99074.55581369362	26.53034019470215	-0.14179029812726895	2
1	1.6330000162124634	99074.55581369362	26.53034019470215	-0.14179029812726895	2
1	1.6339999437332153	99074.55581369362	26.53034019470215	-0.14179029812726895	2
1	1.6480000019073486	99074.55581369362	26.53034019470215	-0.14179029812726895	2
1	1.6540000438690186	99074.55581369362	26.53034019470215	-0.14179029812726895	2
1	1.6549999713897705	99074.55581369362	26.53034019470215	-0.14179029812726895	2
1	1.6690000295639038	99074.55581369362	26.53034019470215	-0.14179029812726895	2
2	1.6690000295639038	99072.57532438514	26.534147262573242	0.026507459816978995	2
2	1.6749999523162842	99072.57532438514	26.534147262573242	0.026507459816978995	2
2	1.690999984741211	99072.57532438514	26.534147262573242	0.026507459816978995	2
2	1.6970000267028809	99072.57532438514	26.534147262573242	0.026507459816978995	2
2	1.6970000267028809	99072.57532438514	26.534147262573242	0.026507459816978995	2
2	1.7120000123977661	99072.57532438514	26.534147262573242	0.026507459816978995	2
2	1.7120000123977661	99072.57532438514	26.534147262573242	0.026507459816978995	2
2	1.7259999513626099	99072.57532438514	26.534147262573242	0.026507459816978995	2
2	1.7319999933242798	99072.57532438514	26.534147262573242	0.026507459816978995	2
2	1.7330000400543213	99072.57532438514	26.534147262573242	0.026507459816978995	2
2	1.746999979019165	99072.57532438514	26.534147262573242	0.026507459816978995	2
2	1.746999979019165	99072.57532438514	26.534147262573242	0.026507459816978995	2
2	1.7610000371932983	99072.57532438514	26.534147262573242	0.026507459816978995	2
2	1.7669999599456787	99072.57532438514	26.534147262573242	0.026507459816978995	2
3	1.7680000066757202	99068.6286272066	26.534147262573242	0.36311113199403167	2
3	1.784999966621399	99068.6286272066	26.534147262573242	0.36311113199403167	2
3	1.784999966621399	99068.6286272066	26.534147262573242	0.36311113199403167	2
3	1.7999999523162842	99068.6286272066	26.534147262573242	0.36311113199403167	2
3	1.8070000410079956	99068.6286272066	26.534147262573242	0.36311113199403167	2
3	1.8070000410079956	99068.6286272066	26.534147262573242	0.36311113199403167	2
3	1.8209999799728394	99068.6286272066	26.534147262573242	0.36311113199403167	2
3	1.8259999752044678	99068.6286272066	26.534147262573242	0.36311113199403167	2
3	1.8270000219345093	99068.6286272066	26.534147262573242	0.36311113199403167	2
3	1.840000033378601	99068.6286272066	26.534147262573242	0.36311113199403167	2
3	1.847000002861023	99068.6286272066	26.534147262573242	0.36311113199403167	2
3	1.847000002861023	99068.6286272066	26.534147262573242	0.36311113199403167	2
3	1.8609999418258667	99068.6286272066	26.534147262573242	0.36311113199403167	2
3	1.8609999418258667	99068.6286272066	26.534147262573242	0.36311113199403167	2
3	1.875	99068.6286272066	26.534147262573242	0.36311113199403167	2
4	1.8760000467300415	99068.6286272066	26.534147262573242	0.36311113199403167	2
4	1.8819999694824219	99068.6286272066	26.534147262573242	0.36311113199403167	2
4	1.8949999809265137	99068.6286272066	26.534147262573242	0.36311113199403167	2
4	1.899999976158142	99068.6286272066	26.534147262573242	0.36311113199403167	2
4	1.9010000228881836	99068.6286272066	26.534147262573242	0.36311113199403167	2
4	1.9170000553131104	99068.6286272066	26.534147262573242	0.36311113199403167	2
4	1.9220000505447388	99068.6286272066	26.534147262573242	0.36311113199403167	2
4	1.9229999780654907	99068.6286272066	26.534147262573242	0.36311113199403167	2
4	1.9359999895095825	99068.6286272066	26.534147262573242	0.36311113199403167	2
4	1.937000036239624	99068.6286272066	26.534147262573242	0.36311113199403167	2
4	1.9509999752044678	99068.6286272066	26.534147262573242	0.36311113199403167	2
4	1.9570000171661377	99068.6286272066	26.534147262573242	0.36311113199403167	2
4	1.9570000171661377	99068.6286272066	26.534147262573242	0.36311113199403167	2
4	1.972000002861023	99068.6286272066	26.534147262573242	0.36311113199403167	2
5	1.972000002861023	99074.3857377182	26.538904190063477	-0.12715581840975654	2
5	1.9889999628067017	99074.3857377182	26.538904190063477	-0.12715581840975654	2
5	1.9889999628067017	99074.3857377182	26.538904190063477	-0.12715581840975654	2
