Номер пакета	Время	Давление	Температура	Высота	Состояние
213	23.472999572753906	99073.89507859798	26.424402236938477	-0.08591308313569579	4
213	23.474000930786133	99073.89507859798	26.424402236938477	-0.08591308313569579	4
213	23.488000869750977	99073.89507859798	26.424402236938477	-0.08591308313569579	4
213	23.493000030517578	99073.89507859798	26.424402236938477	-0.08591308313569579	4
213	23.493999481201172	99073.89507859798	26.424402236938477	-0.08591308313569579	4
213	23.514999389648438	99073.89507859798	26.424402236938477	-0.08591308313569579	4
214	23.518999099731445	99073.03819009852	26.428525924682617	-0.012740086492719627	4
214	23.523000717163086	99073.03819009852	26.428525924682617	-0.012740086492719627	4
214	23.538000106811523	99073.03819009852	26.428525924682617	-0.012740086492719627	4
214	23.54400062561035	99073.03819009852	26.428525924682617	-0.012740086492719627	4
214	23.545000076293945	99073.03819009852	26.428525924682617	-0.012740086492719627	4
214	23.55900001525879	99073.03819009852	26.428525924682617	-0.012740086492719627	4
214	23.55900001525879	99073.03819009852	26.428525924682617	-0.012740086492719627	4
214	23.573999404907227	99073.03819009852	26.428525924682617	-0.012740086492719627	4
214	23.57900047302246	99073.03819009852	26.428525924682617	-0.012740086492719627	4
214	23.579999923706055	99073.03819009852	26.428525924682617	-0.012740086492719627	4
214	23.5939998626709	99073.03819009852	26.428525924682617	-0.012740086492719627	4
214	23.600000381469727	99073.03819009852	26.428525924682617	-0.012740086492719627	4
214	23.60099983215332	99073.03819009852	26.428525924682617	-0.012740086492719627	4
214	23.617000579833984	99073.03819009852	26.428525924682617	-0.012740086492719627	4
215	23.6200008392334	99072.99063013618	26.425037384033203	-0.008748817357286942	4
215	23.624000549316406	99072.99063013618	26.425037384033203	-0.008748817357286942	4
215	23.636999130249023	99072.99063013618	26.425037384033203	-0.008748817357286942	4
215	23.63800048828125	99072.99063013618	26.425037384033203	-0.008748817357286942	4
215	23.652000427246094	99072.99063013618	26.425037384033203	-0.008748817357286942	4
215	23.658000946044922	99072.99063013618	26.425037384033203	-0.008748817357286942	4
215	23.658000946044922	99072.99063013618	26.425037384033203	-0.008748817357286942	4
215	23.673999786376953	99072.99063013618	26.425037384033203	-0.008748817357286942	4
215	23.673999786376953	99072.99063013618	26.425037384033203	-0.008748817357286942	4
215	23.690000534057617	99072.99063013618	26.425037384033203	-0.008748817357286942	4
215	23.69499969482422	99072.99063013618	26.425037384033203	-0.008748817357286942	4
215	23.695999145507812	99072.99063013618	26.425037384033203	-0.008748817357286942	4
215	23.708999633789062	99072.99063013618	26.425037384033203	-0.008748817357286942	4
215	23.715999603271484	99072.99063013618	26.425037384033203	-0.008748817357286942	4
216	23.715999603271484	99072.99063013618	26.425037384033203	-0.008748817357286942	4
216	23.735000610351562	99072.99063013618	26.425037384033203	-0.008748817357286942	4
216	23.735000610351562	99072.99063013618	26.425037384033203	-0.008748817357286942	4
216	23.75	99072.99063013618	26.425037384033203	-0.008748817357286942	4
216	23.756000518798828	99072.99063013618	26.425037384033203	-0.008748817357286942	4
216	23.756000518798828	99072.99063013618	26.425037384033203	-0.008748817357286942	4
