Номер пакета	Время	Широта	Долгота	Высота	fix GPS
8	2.3510000705718994	0.0	0.0	0.0	0
8	2.364000082015991	0.0	0.0	0.0	0
8	2.371000051498413	0.0	0.0	0.0	0
8	2.371000051498413	0.0	0.0	0.0	0
8	2.384999990463257	0.0	0.0	0.0	0
9	2.390000104904175	0.0	0.0	0.0	0
9	2.3940000534057617	0.0	0.0	0.0	0
9	2.4070000648498535	0.0	0.0	0.0	0
9	2.4140000343322754	0.0	0.0	0.0	0
9	2.4140000343322754	0.0	0.0	0.0	0
9	2.427999973297119	0.0	0.0	0.0	0
9	2.427999973297119	0.0	0.0	0.0	0
9	2.441999912261963	0.0	0.0	0.0	0
9	2.447999954223633	0.0	0.0	0.0	0
9	2.447999954223633	0.0	0.0	0.0	0
9	2.4619998931884766	0.0	0.0	0.0	0
9	2.4670000076293945	0.0	0.0	0.0	0
9	2.4679999351501465	0.0	0.0	0.0	0
9	2.4839999675750732	0.0	0.0	0.0	0
9	2.490000009536743	0.0	0.0	0.0	0
10	2.490000009536743	0.0	0.0	0.0	0
10	2.506999969482422	0.0	0.0	0.0	0
10	2.506999969482422	0.0	0.0	0.0	0
10	2.5209999084472656	0.0	0.0	0.0	0
10	2.5269999504089355	0.0	0.0	0.0	0
10	2.5280001163482666	0.0	0.0	0.0	0
10	2.5420000553131104	0.0	0.0	0.0	0
10	2.5420000553131104	0.0	0.0	0.0	0
10	2.555999994277954	0.0	0.0	0.0	0
10	2.561000108718872	0.0	0.0	0.0	0
10	2.562000036239624	0.0	0.0	0.0	0
10	2.575000047683716	0.0	0.0	0.0	0
10	2.5820000171661377	0.0	0.0	0.0	0
10	2.5820000171661377	0.0	0.0	0.0	0
10	2.5980000495910645	0.0	0.0	0.0	0
11	2.5980000495910645	0.0	0.0	0.0	0
11	2.6040000915527344	0.0	0.0	0.0	0
11	2.618000030517578	0.0	0.0	0.0	0
11	2.618000030517578	0.0	0.0	0.0	0
11	2.631999969482422	0.0	0.0	0.0	0
11	2.638000011444092	0.0	0.0	0.0	0
11	2.6389999389648438	0.0	0.0	0.0	0
11	2.6530001163482666	0.0	0.0	0.0	0
11	2.6530001163482666	0.0	0.0	0.0	0
11	2.6670000553131104	0.0	0.0	0.0	0
11	2.671999931335449	0.0	0.0	0.0	0
11	2.6730000972747803	0.0	0.0	0.0	0
11	2.686000108718872	0.0	0.0	0.0	0
11	2.693000078201294	0.0	0.0	0.0	0
12	2.693000078201294	0.0	0.0	0.0	0
12	2.7119998931884766	0.0	0.0	0.0	0
12	2.7119998931884766	0.0	0.0	0.0	0
12	2.7260000705718994	0.0	0.0	0.0	0
12	2.7309999465942383	0.0	0.0	0.0	0
