Íîìåğ ïàêåòà	Âğåìÿ	Øèğîòà	Äîëãîòà	Âûñîòà	fix GPS
385	42811	nan	nan	nan	0
386	42919	nan	nan	nan	0
387	43027	nan	nan	nan	0
388	43135	nan	nan	nan	0
389	43243	nan	nan	nan	0
390	43351	nan	nan	nan	0
391	43459	nan	nan	nan	0
392	43567	nan	nan	nan	0
393	43675	nan	nan	nan	0
394	43783	nan	nan	nan	0
395	43891	nan	nan	nan	0
396	43999	nan	nan	nan	0
397	44107	nan	nan	nan	0
398	44215	nan	nan	nan	0
399	44323	nan	nan	nan	0
400	44431	nan	nan	nan	0
401	44539	nan	nan	nan	0
402	44647	nan	nan	nan	0
403	44755	nan	nan	nan	0
404	44863	nan	nan	nan	0
405	44971	nan	nan	nan	0
406	45079	nan	nan	nan	0
407	45187	nan	nan	nan	0
408	45295	nan	nan	nan	0
409	45403	nan	nan	nan	0
410	45511	nan	nan	nan	0
411	45619	nan	nan	nan	0
412	45727	nan	nan	nan	0
413	45835	nan	nan	nan	0
414	45943	nan	nan	nan	0
415	46051	nan	nan	nan	0
416	46159	nan	nan	nan	0
417	46267	nan	nan	nan	0
418	46375	nan	nan	nan	0
419	46483	nan	nan	nan	0
420	46591	nan	nan	nan	0
421	46699	nan	nan	nan	0
422	46807	nan	nan	nan	0
423	46915	nan	nan	nan	0
424	47023	nan	nan	nan	0
425	47131	nan	nan	nan	0
426	47239	nan	nan	nan	0
427	47347	nan	nan	nan	0
428	47455	nan	nan	nan	0
429	47563	nan	nan	nan	0
430	47671	nan	nan	nan	0
431	47779	nan	nan	nan	0
432	47887	nan	nan	nan	0
433	47995	nan	nan	nan	0
434	48103	nan	nan	nan	0
435	48211	nan	nan	nan	0
436	48319	nan	nan	nan	0
437	48427	nan	nan	nan	0
438	48535	nan	nan	nan	0
439	48643	nan	nan	nan	0
440	48751	nan	nan	nan	0
441	48859	nan	nan	nan	0
442	48967	nan	nan	nan	0
443	49075	nan	nan	nan	0
444	49183	nan	nan	nan	0
445	49291	nan	nan	nan	0
446	49399	nan	nan	nan	0
447	49507	nan	nan	nan	0
448	49615	nan	nan	nan	0
449	49723	nan	nan	nan	0
450	49831	nan	nan	nan	0
451	49939	nan	nan	nan	0
452	50047	nan	nan	nan	0
453	50155	nan	nan	nan	0
454	50263	nan	nan	nan	0
455	50371	nan	nan	nan	0
456	50479	nan	nan	nan	0
457	50587	nan	nan	nan	0
458	50695	nan	nan	nan	0
459	50803	nan	nan	nan	0
460	50911	nan	nan	nan	0
461	51019	nan	nan	nan	0
462	51127	nan	nan	nan	0
463	51235	nan	nan	nan	0
464	51343	nan	nan	nan	0
465	51451	nan	nan	nan	0
466	51559	nan	nan	nan	0
467	51667	nan	nan	nan	0
468	51775	nan	nan	nan	0
469	51883	nan	nan	nan	0
471	52099	nan	nan	nan	0
472	52207	nan	nan	nan	0
473	52315	nan	nan	nan	0
474	52423	nan	nan	nan	0
475	52531	nan	nan	nan	0
476	52639	nan	nan	nan	0
477	52747	nan	nan	nan	0
478	52855	nan	nan	nan	0
479	52963	nan	nan	nan	0
481	53179	nan	nan	nan	0
482	53287	nan	nan	nan	0
483	53395	nan	nan	nan	0
484	53503	nan	nan	nan	0
485	53611	nan	nan	nan	0
486	53719	nan	nan	nan	0
487	53827	nan	nan	nan	0
488	53935	nan	nan	nan	0
489	54043	nan	nan	nan	0
490	54151	nan	nan	nan	0
491	54259	nan	nan	nan	0
492	54367	nan	nan	nan	0
493	54475	nan	nan	nan	0
494	54583	nan	nan	nan	0
495	54691	nan	nan	nan	0
496	54799	nan	nan	nan	0
497	54907	nan	nan	nan	0
498	55015	nan	nan	nan	0
499	55123	nan	nan	nan	0
501	55339	nan	nan	nan	0
502	55447	nan	nan	nan	0
503	55555	nan	nan	nan	0
504	55663	nan	nan	nan	0
505	55771	nan	nan	nan	0
506	55879	nan	nan	nan	0
507	55987	nan	nan	nan	0
508	56095	nan	nan	nan	0
509	56203	nan	nan	nan	0
510	56311	nan	nan	nan	0
511	56419	nan	nan	nan	0
512	56527	nan	nan	nan	0
513	56635	nan	nan	nan	0
514	56743	nan	nan	nan	0
515	56851	nan	nan	nan	0
516	56959	nan	nan	nan	0
517	57067	nan	nan	nan	0
518	57175	nan	nan	nan	0
519	57283	nan	nan	nan	0
520	57391	nan	nan	nan	0
521	57499	nan	nan	nan	0
522	57607	nan	nan	nan	0
523	57715	nan	nan	nan	0
524	57823	nan	nan	nan	0
525	57931	nan	nan	nan	0
526	58039	nan	nan	nan	0
527	58147	nan	nan	nan	0
528	58255	nan	nan	nan	0
529	58363	nan	nan	nan	0
530	58471	nan	nan	nan	0
531	58579	nan	nan	nan	0
532	58687	nan	nan	nan	0
534	58903	nan	nan	nan	0
535	59011	nan	nan	nan	0
536	59119	nan	nan	nan	0
537	59227	nan	nan	nan	0
538	59335	nan	nan	nan	0
540	59551	nan	nan	nan	0
541	59659	nan	nan	nan	0
542	59767	nan	nan	nan	0
543	59875	nan	nan	nan	0
544	59983	nan	nan	nan	0
545	60091	nan	nan	nan	0
546	60199	nan	nan	nan	0
547	60307	nan	nan	nan	0
548	60415	nan	nan	nan	0
550	60631	nan	nan	nan	0
552	60847	nan	nan	nan	0
553	60955	nan	nan	nan	0
554	61063	nan	nan	nan	0
555	61171	nan	nan	nan	0
556	61279	nan	nan	nan	0
557	61387	nan	nan	nan	0
