Íîìåğ ïàêåòà	Âğåìÿ	Øèğîòà	Äîëãîòà	Âûñîòà	fix GPS
3863	418732	nan	nan	nan	0
3866	419056	nan	nan	nan	0
3869	419380	nan	nan	nan	0
3870	419488	nan	nan	nan	0
3871	419596	nan	nan	nan	0
3872	419704	nan	nan	nan	0
3875	420028	nan	nan	nan	0
3876	420136	nan	nan	nan	0
3879	420460	nan	nan	nan	0
3880	420568	nan	nan	nan	0
3882	420784	nan	nan	nan	0
3883	420892	nan	nan	nan	0
3885	421108	nan	nan	nan	0
3886	421216	nan	nan	nan	0
3887	421324	nan	nan	nan	0
3889	421540	nan	nan	nan	0
3890	421648	nan	nan	nan	0
3892	421864	nan	nan	nan	0
3893	421972	nan	nan	nan	0
3896	422296	nan	nan	nan	0
3898	422512	nan	nan	nan	0
3907	423484	nan	nan	nan	0
3910	423808	nan	nan	nan	0
3913	424132	nan	nan	nan	0
3916	424456	nan	nan	nan	0
3919	424780	nan	nan	nan	0
3923	425212	nan	nan	nan	0
3924	425320	nan	nan	nan	0
3934	426400	nan	nan	nan	0
3938	426832	nan	nan	nan	0
3939	426940	nan	nan	nan	0
3942	427264	nan	nan	nan	0
3947	427804	nan	nan	nan	0
3949	428020	nan	nan	nan	0
3951	428236	nan	nan	nan	0
3952	428344	nan	nan	nan	0
3953	428452	nan	nan	nan	0
3954	428560	nan	nan	nan	0
3957	428884	nan	nan	nan	0
3958	428992	nan	nan	nan	0
3959	429100	nan	nan	nan	0
3960	429208	nan	nan	nan	0
3961	429316	nan	nan	nan	0
3963	429532	nan	nan	nan	0
3964	429640	nan	nan	nan	0
3965	429748	nan	nan	nan	0
3966	429856	nan	nan	nan	0
3967	429964	nan	nan	nan	0
3969	430180	nan	nan	nan	0
3970	430288	nan	nan	nan	0
3971	430396	nan	nan	nan	0
3972	430504	nan	nan	nan	0
3973	430612	nan	nan	nan	0
3975	430828	nan	nan	nan	0
3976	430936	nan	nan	nan	0
3977	431044	nan	nan	nan	0
3978	431152	nan	nan	nan	0
3979	431260	nan	nan	nan	0
3980	431368	nan	nan	nan	0
3981	431476	nan	nan	nan	0
3982	431584	nan	nan	nan	0
3986	432016	nan	nan	nan	0
3987	432124	nan	nan	nan	0
3988	432232	nan	nan	nan	0
3989	432340	nan	nan	nan	0
3991	432556	nan	nan	nan	0
3992	432664	nan	nan	nan	0
3994	432880	nan	nan	nan	0
3995	432988	nan	nan	nan	0
3998	433312	nan	nan	nan	0
4001	433636	nan	nan	nan	0
4004	433960	nan	nan	nan	0
4005	434068	nan	nan	nan	0
4007	434284	nan	nan	nan	0
4010	434608	nan	nan	nan	0
4013	434932	nan	nan	nan	0
4016	435256	nan	nan	nan	0
4019	435580	nan	nan	nan	0
4022	435904	nan	nan	nan	0
4025	436228	nan	nan	nan	0
4029	436660	nan	nan	nan	0
4030	436768	nan	nan	nan	0
4032	436984	nan	nan	nan	0
4034	437200	nan	nan	nan	0
4038	437632	nan	nan	nan	0
4040	437848	nan	nan	nan	0
4042	438064	nan	nan	nan	0
4043	438172	nan	nan	nan	0
4044	438280	nan	nan	nan	0
4045	438388	nan	nan	nan	0
4046	438496	nan	nan	nan	0
4047	438604	nan	nan	nan	0
4048	438712	nan	nan	nan	0
4049	438820	nan	nan	nan	0
4050	438928	nan	nan	nan	0
4051	439036	nan	nan	nan	0
4052	439144	nan	nan	nan	0
4053	439252	nan	nan	nan	0
4054	439360	nan	nan	nan	0
4055	439468	nan	nan	nan	0
4056	439576	nan	nan	nan	0
4057	439684	nan	nan	nan	0
4058	439792	nan	nan	nan	0
4059	439900	nan	nan	nan	0
4060	440008	nan	nan	nan	0
4061	440116	nan	nan	nan	0
4062	440224	nan	nan	nan	0
4063	440332	nan	nan	nan	0
4064	440440	nan	nan	nan	0
4065	440548	nan	nan	nan	0
4066	440656	nan	nan	nan	0
4067	440764	nan	nan	nan	0
4068	440872	nan	nan	nan	0
4069	440980	nan	nan	nan	0
4070	441088	nan	nan	nan	0
4071	441196	nan	nan	nan	0
4072	441304	nan	nan	nan	0
4073	441412	nan	nan	nan	0
4075	441628	nan	nan	nan	0
4076	441736	nan	nan	nan	0
4078	441952	nan	nan	nan	0
4079	442060	nan	nan	nan	0
4081	442276	nan	nan	nan	0
4082	442384	nan	nan	nan	0
4083	442492	nan	nan	nan	0
4084	442600	nan	nan	nan	0
4085	442708	nan	nan	nan	0
4086	442816	nan	nan	nan	0
4087	442924	nan	nan	nan	0
4088	443032	nan	nan	nan	0
4090	443248	nan	nan	nan	0
4091	443356	nan	nan	nan	0
4092	443464	nan	nan	nan	0
4093	443572	nan	nan	nan	0
4094	443680	nan	nan	nan	0
4095	443788	nan	nan	nan	0
4096	443896	nan	nan	nan	0
4097	444004	nan	nan	nan	0
4098	444112	nan	nan	nan	0
4099	444220	nan	nan	nan	0
4100	444328	nan	nan	nan	0
4101	444436	nan	nan	nan	0
4102	444544	nan	nan	nan	0
4103	444652	nan	nan	nan	0
4104	444760	nan	nan	nan	0
4105	444868	nan	nan	nan	0
4106	444976	nan	nan	nan	0
4107	445084	nan	nan	nan	0
4108	445192	nan	nan	nan	0
4109	445300	nan	nan	nan	0
4110	445408	nan	nan	nan	0
4111	445516	nan	nan	nan	0
4112	445624	nan	nan	nan	0
4113	445732	nan	nan	nan	0
4114	445840	nan	nan	nan	0
4115	445948	nan	nan	nan	0
4116	446056	nan	nan	nan	0
4117	446164	nan	nan	nan	0
4118	446272	nan	nan	nan	0
4119	446380	nan	nan	nan	0
4120	446488	nan	nan	nan	0
4121	446596	nan	nan	nan	0
4122	446704	nan	nan	nan	0
4123	446812	nan	nan	nan	0
4124	446920	nan	nan	nan	0
4125	447028	nan	nan	nan	0
4126	447136	nan	nan	nan	0
4127	447244	nan	nan	nan	0
4128	447352	nan	nan	nan	0
4129	447460	nan	nan	nan	0
4130	447568	nan	nan	nan	0
4131	447676	nan	nan	nan	0
4132	447784	nan	nan	nan	0
4133	447892	nan	nan	nan	0
4134	448000	nan	nan	nan	0
4135	448108	nan	nan	nan	0
4136	448216	nan	nan	nan	0
4137	448324	nan	nan	nan	0
4138	448432	nan	nan	nan	0
4139	448540	nan	nan	nan	0
4140	448648	nan	nan	nan	0
4142	448864	nan	nan	nan	0
4143	448972	nan	nan	nan	0
4144	449080	nan	nan	nan	0
4145	449188	nan	nan	nan	0
4146	449296	nan	nan	nan	0
4147	449404	nan	nan	nan	0
4148	449512	nan	nan	nan	0
4149	449620	nan	nan	nan	0
4151	449836	nan	nan	nan	0
4152	449944	nan	nan	nan	0
4153	450052	nan	nan	nan	0
4154	450160	nan	nan	nan	0
4155	450268	nan	nan	nan	0
4156	450376	nan	nan	nan	0
4157	450484	nan	nan	nan	0
4158	450592	nan	nan	nan	0
4159	450700	nan	nan	nan	0
4160	450808	nan	nan	nan	0
4161	450916	nan	nan	nan	0
4162	451024	nan	nan	nan	0
4163	451132	nan	nan	nan	0
4164	451240	nan	nan	nan	0
4166	451456	nan	nan	nan	0
4167	451564	nan	nan	nan	0
4168	451672	nan	nan	nan	0
4169	451780	nan	nan	nan	0
4170	451888	nan	nan	nan	0
4171	451996	nan	nan	nan	0
4172	452104	nan	nan	nan	0
4173	452212	nan	nan	nan	0
4174	452320	nan	nan	nan	0
4175	452428	nan	nan	nan	0
4176	452536	nan	nan	nan	0
4177	452644	nan	nan	nan	0
4178	452752	nan	nan	nan	0
4179	452860	nan	nan	nan	0
4180	452968	nan	nan	nan	0
4181	453076	nan	nan	nan	0
4182	453184	nan	nan	nan	0
4183	453292	nan	nan	nan	0
4184	453400	nan	nan	nan	0
4185	453508	nan	nan	nan	0
4186	453616	nan	nan	nan	0
4187	453724	nan	nan	nan	0
4188	453832	nan	nan	nan	0
4189	453940	nan	nan	nan	0
4190	454048	nan	nan	nan	0
4191	454156	nan	nan	nan	0
4192	454264	nan	nan	nan	0
4193	454372	nan	nan	nan	0
4194	454480	nan	nan	nan	0
4195	454588	nan	nan	nan	0
4196	454696	nan	nan	nan	0
4197	454804	nan	nan	nan	0
4198	454912	nan	nan	nan	0
4199	455020	nan	nan	nan	0
4200	455128	nan	nan	nan	0
4201	455236	nan	nan	nan	0
4202	455344	nan	nan	nan	0
4203	455452	nan	nan	nan	0
4204	455560	nan	nan	nan	0
4205	455668	nan	nan	nan	0
4206	455776	nan	nan	nan	0
4207	455884	nan	nan	nan	0
4208	455992	nan	nan	nan	0
4209	456100	nan	nan	nan	0
4210	456208	nan	nan	nan	0
4211	456316	nan	nan	nan	0
4212	456424	nan	nan	nan	0
4213	456532	nan	nan	nan	0
4214	456640	nan	nan	nan	0
4215	456748	nan	nan	nan	0
4216	456856	nan	nan	nan	0
4217	456964	nan	nan	nan	0
4218	457072	nan	nan	nan	0
4219	457180	nan	nan	nan	0
4220	457288	nan	nan	nan	0
4221	457396	nan	nan	nan	0
4222	457504	nan	nan	nan	0
4223	457612	nan	nan	nan	0
4224	457720	nan	nan	nan	0
4225	457828	nan	nan	nan	0
4226	457936	nan	nan	nan	0
4227	458044	nan	nan	nan	0
4228	458152	nan	nan	nan	0
4229	458260	nan	nan	nan	0
4230	458368	nan	nan	nan	0
4231	458476	nan	nan	nan	0
4232	458584	nan	nan	nan	0
4233	458692	nan	nan	nan	0
4234	458800	nan	nan	nan	0
4235	458908	nan	nan	nan	0
4236	459016	nan	nan	nan	0
4237	459124	nan	nan	nan	0
4238	459232	nan	nan	nan	0
4239	459340	nan	nan	nan	0
4240	459448	nan	nan	nan	0
4241	459556	nan	nan	nan	0
4242	459664	nan	nan	nan	0
4243	459772	nan	nan	nan	0
4244	459880	nan	nan	nan	0
4245	459988	nan	nan	nan	0
4246	460096	nan	nan	nan	0
4247	460204	nan	nan	nan	0
4248	460312	nan	nan	nan	0
4249	460420	nan	nan	nan	0
4250	460528	nan	nan	nan	0
4251	460636	nan	nan	nan	0
4252	460744	nan	nan	nan	0
4253	460852	nan	nan	nan	0
4254	460960	nan	nan	nan	0
4255	461068	nan	nan	nan	0
4256	461176	nan	nan	nan	0
4257	461284	nan	nan	nan	0
4258	461392	nan	nan	nan	0
4259	461500	nan	nan	nan	0
4260	461608	nan	nan	nan	0
4261	461716	nan	nan	nan	0
4262	461824	nan	nan	nan	0
4263	461932	nan	nan	nan	0
4264	462040	nan	nan	nan	0
4265	462148	nan	nan	nan	0
4266	462256	nan	nan	nan	0
4267	462364	nan	nan	nan	0
4268	462472	nan	nan	nan	0
4269	462580	nan	nan	nan	0
4270	462688	nan	nan	nan	0
4271	462796	nan	nan	nan	0
4272	462904	nan	nan	nan	0
4273	463012	nan	nan	nan	0
4274	463120	nan	nan	nan	0
4275	463228	nan	nan	nan	0
4276	463336	nan	nan	nan	0
4277	463444	nan	nan	nan	0
4278	463552	nan	nan	nan	0
4279	463660	nan	nan	nan	0
4280	463768	nan	nan	nan	0
4281	463876	nan	nan	nan	0
4282	463984	nan	nan	nan	0
4283	464092	nan	nan	nan	0
4284	464200	nan	nan	nan	0
4285	464308	nan	nan	nan	0
4286	464416	nan	nan	nan	0
4287	464524	nan	nan	nan	0
4288	464632	nan	nan	nan	0
4289	464740	nan	nan	nan	0
4290	464848	nan	nan	nan	0
4291	464956	nan	nan	nan	0
4292	465064	nan	nan	nan	0
4293	465172	nan	nan	nan	0
4294	465280	nan	nan	nan	0
4295	465388	nan	nan	nan	0
4296	465496	nan	nan	nan	0
4297	465604	nan	nan	nan	0
4298	465712	nan	nan	nan	0
4299	465820	nan	nan	nan	0
4300	465928	nan	nan	nan	0
4301	466036	nan	nan	nan	0
4302	466144	nan	nan	nan	0
4303	466252	nan	nan	nan	0
4305	466468	nan	nan	nan	0
4306	466576	nan	nan	nan	0
4307	466684	nan	nan	nan	0
4308	466792	nan	nan	nan	0
4309	466900	nan	nan	nan	0
4310	467008	nan	nan	nan	0
4311	467116	nan	nan	nan	0
4312	467224	nan	nan	nan	0
4313	467332	nan	nan	nan	0
4314	467440	nan	nan	nan	0
4315	467548	nan	nan	nan	0
4316	467656	nan	nan	nan	0
4317	467764	nan	nan	nan	0
4318	467872	nan	nan	nan	0
4319	467980	nan	nan	nan	0
4320	468088	nan	nan	nan	0
4321	468196	nan	nan	nan	0
4322	468304	nan	nan	nan	0
4323	468412	nan	nan	nan	0
4324	468520	nan	nan	nan	0
4325	468628	nan	nan	nan	0
4326	468736	nan	nan	nan	0
4327	468844	nan	nan	nan	0
4328	468952	nan	nan	nan	0
4329	469060	nan	nan	nan	0
4330	469168	nan	nan	nan	0
4331	469276	nan	nan	nan	0
4332	469384	nan	nan	nan	0
4333	469492	nan	nan	nan	0
4334	469600	nan	nan	nan	0
4335	469708	nan	nan	nan	0
4336	469816	nan	nan	nan	0
4337	469924	nan	nan	nan	0
4338	470032	nan	nan	nan	0
4339	470140	nan	nan	nan	0
4340	470248	nan	nan	nan	0
4341	470356	nan	nan	nan	0
4342	470464	nan	nan	nan	0
4343	470572	nan	nan	nan	0
4344	470680	nan	nan	nan	0
4345	470788	nan	nan	nan	0
4346	470896	nan	nan	nan	0
4347	471004	nan	nan	nan	0
4348	471112	nan	nan	nan	0
4349	471220	nan	nan	nan	0
4350	471328	nan	nan	nan	0
4351	471436	nan	nan	nan	0
4352	471544	nan	nan	nan	0
4353	471652	nan	nan	nan	0
4354	471760	nan	nan	nan	0
4355	471868	nan	nan	nan	0
4357	472084	nan	nan	nan	0
4358	472192	nan	nan	nan	0
4359	472300	nan	nan	nan	0
4360	472408	nan	nan	nan	0
4361	472516	nan	nan	nan	0
4362	472624	nan	nan	nan	0
4363	472732	nan	nan	nan	0
4364	472840	nan	nan	nan	0
4365	472948	nan	nan	nan	0
4366	473056	nan	nan	nan	0
4367	473164	nan	nan	nan	0
4368	473272	nan	nan	nan	0
4369	473380	nan	nan	nan	0
4370	473488	nan	nan	nan	0
4371	473596	nan	nan	nan	0
4372	473704	nan	nan	nan	0
4373	473812	nan	nan	nan	0
4374	473920	nan	nan	nan	0
4375	474028	nan	nan	nan	0
4376	474136	nan	nan	nan	0
4377	474244	nan	nan	nan	0
4378	474352	nan	nan	nan	0
4379	474460	nan	nan	nan	0
4380	474568	nan	nan	nan	0
4381	474676	nan	nan	nan	0
4382	474784	nan	nan	nan	0
4383	474892	nan	nan	nan	0
4384	475000	nan	nan	nan	0
4385	475108	nan	nan	nan	0
4386	475216	nan	nan	nan	0
4387	475324	nan	nan	nan	0
4388	475432	nan	nan	nan	0
4389	475540	nan	nan	nan	0
4390	475648	nan	nan	nan	0
4391	475756	nan	nan	nan	0
4392	475864	nan	nan	nan	0
