Номер пакета	Время	Широта	Долгота	Высота	fix GPS
6865	742651	55.91108322143555	37.805782318115234	193.5	1
6866	742759	55.91108322143555	37.805782318115234	193.5	1
6867	742867	55.91108322143555	37.805782318115234	193.5	1
6868	742975	55.91107940673828	37.80577850341797	193.0	1
6869	743083	55.91107940673828	37.80577850341797	193.0	1
6870	743191	55.91107940673828	37.80577850341797	193.0	1
6871	743299	55.91107940673828	37.80577850341797	193.0	1
6872	743407	55.91107940673828	37.80577850341797	193.0	1
6873	743515	55.91107940673828	37.80577850341797	193.0	1
6874	743623	55.91107940673828	37.80577850341797	193.0	1
6875	743731	55.91107940673828	37.80577850341797	193.0	1
6876	743839	55.91107940673828	37.80577850341797	193.0	1
6877	743947	55.91107940673828	37.80577850341797	192.6999969482422	1
6878	744055	55.91107940673828	37.80577850341797	192.6999969482422	1
6879	744163	55.91107940673828	37.80577850341797	192.6999969482422	1
6880	744271	55.91107940673828	37.80577850341797	192.6999969482422	1
6881	744379	55.91107940673828	37.80577850341797	192.6999969482422	1
6882	744487	55.91107940673828	37.80577850341797	192.6999969482422	1
6883	744595	55.91107940673828	37.80577850341797	192.6999969482422	1
6884	744703	55.91107940673828	37.80577850341797	192.6999969482422	1
6885	744811	55.91107940673828	37.80577850341797	192.6999969482422	1
6886	744919	55.91107940673828	37.80577850341797	192.6999969482422	1
6887	745027	55.911075592041016	37.8057746887207	191.8000030517578	1
6888	745135	55.911075592041016	37.8057746887207	191.8000030517578	1
6889	745243	55.911075592041016	37.8057746887207	191.8000030517578	1
6890	745351	55.911075592041016	37.8057746887207	191.8000030517578	1
6891	745459	55.911075592041016	37.8057746887207	191.8000030517578	1
6892	745567	55.911075592041016	37.8057746887207	191.8000030517578	1
6893	745675	55.911075592041016	37.8057746887207	191.8000030517578	1
6894	745783	55.911075592041016	37.8057746887207	191.8000030517578	1
6895	745891	55.911075592041016	37.8057746887207	191.8000030517578	1
6896	745999	55.91106033325195	37.80577850341797	190.1999969482422	1
6897	746107	55.91106033325195	37.80577850341797	190.1999969482422	1
6898	746215	55.91106033325195	37.80577850341797	190.1999969482422	1
6899	746323	55.91106033325195	37.80577850341797	190.1999969482422	1
6900	746431	55.91106033325195	37.80577850341797	190.1999969482422	1
6901	746539	55.91106033325195	37.80577850341797	190.1999969482422	1
6902	746647	55.91106033325195	37.80577850341797	190.1999969482422	1
6903	746755	55.91106033325195	37.80577850341797	190.1999969482422	1
6904	746863	55.91106033325195	37.80577850341797	190.1999969482422	1
6905	746971	55.91106033325195	37.80577850341797	190.1999969482422	1
6906	747079	55.91106414794922	37.80577087402344	190.10000610351562	1
6907	747187	55.91106414794922	37.80577087402344	190.10000610351562	1
6908	747295	55.91106414794922	37.80577087402344	190.10000610351562	1
6909	747403	55.91106414794922	37.80577087402344	190.10000610351562	1
6910	747511	55.91106414794922	37.80577087402344	190.10000610351562	1
6911	747619	55.91106414794922	37.80577087402344	190.10000610351562	1
6912	747727	55.91106414794922	37.80577087402344	190.10000610351562	1
6913	747835	55.91106414794922	37.80577087402344	190.10000610351562	1
6914	747943	55.91106414794922	37.80577087402344	190.10000610351562	1
6915	748051	55.91105651855469	37.805782318115234	189.10000610351562	1
6916	748159	55.91105651855469	37.805782318115234	189.10000610351562	1
6917	748267	55.91105651855469	37.805782318115234	189.10000610351562	1
6918	748375	55.91105651855469	37.805782318115234	189.10000610351562	1
6919	748483	55.91105651855469	37.805782318115234	189.10000610351562	1
6920	748591	55.91105651855469	37.805782318115234	189.10000610351562	1
6921	748699	55.91105651855469	37.805782318115234	189.10000610351562	1
6922	748807	55.91105651855469	37.805782318115234	189.10000610351562	1
6923	748915	55.91105651855469	37.805782318115234	189.10000610351562	1
6924	749023	55.91105651855469	37.80577850341797	189.0	1
6925	749131	55.91105651855469	37.80577850341797	189.0	1
6926	749239	55.91105651855469	37.80577850341797	189.0	1
6927	749347	55.91105651855469	37.80577850341797	189.0	1
6928	749455	55.91105651855469	37.80577850341797	189.0	1
6929	749563	55.91105651855469	37.80577850341797	189.0	1
6930	749671	55.91105651855469	37.80577850341797	189.0	1
6931	749779	55.91105651855469	37.80577850341797	189.0	1
6932	749887	55.91105651855469	37.80577850341797	189.0	1
6933	749995	55.91105651855469	37.80577850341797	189.0	1
6934	750103	55.91105651855469	37.805763244628906	189.0	1
6935	750211	55.91105651855469	37.805763244628906	189.0	1
6936	750319	55.91105651855469	37.805763244628906	189.0	1
6937	750427	55.91105651855469	37.805763244628906	189.0	1
6938	750535	55.91105651855469	37.805763244628906	189.0	1
6939	750643	55.91105651855469	37.805763244628906	189.0	1
6940	750751	55.91105651855469	37.805763244628906	189.0	1
6941	750859	55.91105651855469	37.805763244628906	189.0	1
6942	750967	55.91105651855469	37.805763244628906	189.0	1
