Номер пакета	Время	Давление	Температура	Высота	Состояние
19403	2096.7548828125	99501.58076325955	26.976613998413086	-1.202225180895451	4
19412	2097.72705078125	99503.4505352147	26.971221923828125	-1.3611913757819738	4
19801	2139.739013671875	99503.24371540749	27.11014747619629	-1.3433077999469	4
19802	2139.846923828125	99503.24371540749	27.11014747619629	-1.3433077999469	4
19803	2139.955078125	99502.75576880416	27.103803634643555	-1.3022416947946924	4
19804	2140.06298828125	99505.01877117994	27.101900100708008	-1.4936613520795583	4
19805	2140.1708984375	99505.01877117994	27.101900100708008	-1.4936613520795583	4
19806	2140.279052734375	99503.62828259378	27.100631713867188	-1.375763155623042	4
19821	2141.89892578125	99505.16745275311	27.089847564697266	-1.5062459122233118	4
19825	2142.3310546875	99501.97759674696	27.082868576049805	-1.2360057002536284	4
19827	2142.547119140625	99501.5863695918	27.081600189208984	-1.2028875450729615	4
19838	2143.735107421875	99500.34187077793	27.06415557861328	-1.0975711119224285	4
19848	2144.81494140625	99502.2543316408	27.051467895507812	-1.2598507067978537	4
19849	2144.923095703125	99504.48713714439	27.051467895507812	-1.4486217491171183	4
19860	2146.111083984375	99504.0669941454	27.029582977294922	-1.4135172176766142	4
19861	2146.218994140625	99503.61445766162	27.02989959716797	-1.3751008024404276	4
19863	2146.43505859375	99502.24984794763	27.020383834838867	-1.2591883462426545	4
19864	2146.54296875	99502.24984794763	27.020383834838867	-1.2591883462426545	4
19866	2146.759033203125	99504.67855998129	27.009918212890625	-1.4651804493128107	4
19867	2146.866943359375	99504.67855998129	27.009918212890625	-1.4651804493128107	4
19868	2146.97509765625	99504.05003180899	27.003890991210938	-1.411530165186372	4
19871	2147.299072265625	99505.00916371468	26.990570068359375	-1.4929990063876475	4
19873	2147.514892578125	99503.60103164036	26.986129760742188	-1.3737760959373935	4
19876	2147.839111328125	99503.97008453839	26.97756576538086	-1.4049066541589883	4
19877	2147.947021484375	99502.578366081	26.974393844604492	-1.2870074533379072	4
19878	2148.054931640625	99501.69895953666	26.966781616210938	-1.2121606391384954	4
19880	2148.27099609375	99499.83838162699	26.962657928466797	-1.0545169175902225	4
19883	2148.594970703125	99500.0043059987	26.95409393310547	-1.069089126360201	4
19884	2148.702880859375	99501.9859168293	26.95250701904297	-1.2366680622853132	4
19885	2148.81103515625	99501.9859168293	26.95250701904297	-1.2366680622853132	4
19886	2148.9189453125	99502.87297394563	26.94838523864746	-1.312177057656767	4
19887	2149.027099609375	99501.11848379187	26.939502716064453	-1.1631456198991796	4
19888	2149.135009765625	99501.11848379187	26.939502716064453	-1.1631456198991796	4
19897	2150.10693359375	99500.44666717456	26.916032791137695	-1.1061819294349506	4
19899	2150.322998046875	99503.71820343741	26.906517028808594	-1.3837113905759901	4
19913	2151.8349609375	99500.60157420121	26.870040893554688	-1.119429327107655	4
19935	2154.2109375	99503.24383999944	26.81167984008789	-1.3433077999469	4
19940	2154.7509765625	99500.80248117096	26.802799224853516	-1.1366509188913576	4
19942	2154.967041015625	99503.07744693625	26.7977237701416	-1.3293983308444068	4
19945	2155.291015625	99500.10936256901	26.794235229492188	-1.0776999674177468	4
19947	2155.507080078125	99502.15469602686	26.795185089111328	-1.251240016292623	4
19972	2158.20703125	99500.9103045323	26.77996063232422	-1.14592407190804	4
19973	2158.31494140625	99500.94488598089	26.784400939941406	-1.1485735426840682	4
19981	2159.178955078125	99502.1780195375	26.784719467163086	-1.253227099346117	4
19991	2160.259033203125	99502.39754973387	26.785987854003906	-1.271773189605876	4
19993	2160.47509765625	99502.58410628443	26.785036087036133	-1.287669812131167	4
19994	2160.5830078125	99502.30346534078	26.78535270690918	-1.2638248692530007	4
20005	2161.77099609375	99501.4912923534	26.784719467163086	-1.1949391721670422	4
20011	2162.4189453125	99499.16374478383	26.781864166259766	-0.9975526331948958	4
20012	2162.527099609375	99499.60118874493	26.782499313354492	-1.0346456909634116	4
20013	2162.635009765625	99499.60118874493	26.782499313354492	-1.0346456909634116	4
20014	2162.742919921875	99499.39975092754	26.784400939941406	-1.0174239305650534	4
20015	2162.85107421875	99498.24261957416	26.78154754638672	-0.9193918291505843	4
20016	2162.958984375	99498.24261957416	26.78154754638672	-0.9193918291505843	4
20018	2163.175048828125	99501.81978058725	26.78567123413086	-1.2227584508200784	4
20021	2163.4990234375	99499.41462949848	26.783451080322266	-1.018748682376509	4
20022	2163.60693359375	99500.69399763395	26.78281593322754	-1.1273777576161992	4
