Номер пакета	Время	Давление	Температура	Высота	Состояние
3694	400.1830139160156	99489.29206867443	26.708595275878906	-0.16027419599837112	4
3695	400.2909851074219	99489.29206867443	26.708595275878906	-0.16027419599837112	4
3698	400.614990234375	99489.17821416937	26.70256996154785	-0.1510001656441018	4
3699	400.7229919433594	99490.98723862041	26.70098304748535	-0.3040206108269494	4
3700	400.83099365234375	99490.34352441409	26.695907592773438	-0.24970192222040888	4
3701	400.9389953613281	99490.34352441409	26.695907592773438	-0.24970192222040888	4
3704	401.26300048828125	99489.2145509353	26.68893051147461	-0.1536498894405458	4
3705	401.3710021972656	99490.53660262738	26.6832218170166	-0.26626252802747663	4
3707	401.5870056152344	99486.74206441769	26.680049896240234	0.0556803671358419	4
3708	401.69500732421875	99488.1119688918	26.675609588623047	-0.06024671866201148	4
3709	401.8030090332031	99487.62505254592	26.671485900878906	-0.019175555818222723	4
3710	401.9110107421875	99487.62505254592	26.671485900878906	-0.019175555818222723	4
3711	402.0190124511719	99490.83853420851	26.670217514038086	-0.29143459843164576	4
3713	402.2349853515625	99487.49628145379	26.666410446166992	-0.008576519765877144	4
3714	402.3429870605469	99487.49628145379	26.666410446166992	-0.008576519765877144	4
3715	402.45098876953125	99489.17973841607	26.6641902923584	-0.1510001656441018	4
3716	402.5589904785156	99490.47368344055	26.66260528564453	-0.2609631370332033	4
3717	402.6669921875	99490.47368344055	26.66260528564453	-0.2609631370332033	4
3718	402.7749938964844	99489.94221868558	26.661334991455078	-0.21591820475504786	4
3719	402.88299560546875	99490.11386653608	26.661334991455078	-0.23049158650424673	4
3720	402.9909973144531	99490.11386653608	26.661334991455078	-0.23049158650424673	4
3721	403.0989990234375	99490.51820323584	26.65974998474121	-0.2642752567122253	4
3722	403.2070007324219	99490.53135735294	26.656578063964844	-0.2656001042983802	4
3727	403.74700927734375	99488.56232139324	26.65277099609375	-0.09866798249973163	4
3728	403.8550109863281	99492.01175993976	26.654041290283203	-0.3914598561475158	4
3730	404.0710144042969	99491.88800335383	26.655309677124023	-0.3808611988334132	4
3731	404.1789855957031	99488.32795362352	26.652454376220703	-0.07879493268881488	4
3732	404.2869873046875	99488.32795362352	26.652454376220703	-0.07879493268881488	4
3733	404.3949890136719	99490.54281768	26.651185989379883	-0.26626252802747663	4
3734	404.50299072265625	99487.7749201641	26.643573760986328	-0.031761897125301974	4
3735	404.6109924316406	99487.7749201641	26.643573760986328	-0.031761897125301974	4
3736	404.718994140625	99491.06749946794	26.643890380859375	-0.3113072426322816	4
3737	404.8269958496094	99489.74224432987	26.645158767700195	-0.19869509094108562	4
3739	405.0429992675781	99491.86128715953	26.641353607177734	-0.37821153281677233	4
3740	405.1510009765625	99490.68945164021	26.639450073242188	-0.2788485708285404	4
3741	405.2590026855469	99490.68945164021	26.639450073242188	-0.2788485708285404	4
3743	405.4750061035156	99487.04853562865	26.632789611816406	0.029845076310632823	4
3744	405.5830078125	99487.04853562865	26.632789611816406	0.029845076310632823	4
3747	405.9070129394531	99491.07209790587	26.629934310913086	-0.3113072426322816	4
3752	406.4469909667969	99489.17036671474	26.61280632019043	-0.1503377345916368	4
3753	406.55499267578125	99489.17036671474	26.61280632019043	-0.1503377345916368	4
3754	406.6629943847656	99490.29426348623	26.613441467285156	-0.24572737290634805	4
3757	406.98699951171875	99488.0743976628	26.608049392700195	-0.05759697111383577	4
3761	407.41900634765625	99489.14865404752	26.605194091796875	-0.1483504411684744	4
3764	407.7430114746094	99491.67175316163	26.599485397338867	-0.3623135225820384	4
3765	407.85101318359375	99491.67175316163	26.599485397338867	-0.3623135225820384	4
3766	407.9590148925781	99490.29174747536	26.59092140197754	-0.2450649478779443	4
3767	408.0669860839844	99487.59013045426	26.58806800842285	-0.016525797816528964	4
3768	408.17498779296875	99487.25995125578	26.584896087646484	0.011959143271219608	4
3769	408.2829895019531	99487.25995125578	26.584896087646484	0.011959143271219608	4
3770	408.3909912109375	99491.01918830721	26.58362579345703	-0.30667029571307625	4
3771	408.4989929199219	99487.70862233707	26.580137252807617	-0.026462386850678588	4
3773	408.7149963378906	99489.75332452702	26.58108901977539	-0.19935751892246056	4
3774	408.822998046875	99487.75130213327	26.575063705444336	-0.02977458108238018	4
3776	409.03900146484375	99488.71656791373	26.572525024414062	-0.11191666130914824	4
3777	409.1470031738281	99491.18379013511	26.575063705444336	-0.3212435505238864	4
3778	409.2550048828125	99491.18379013511	26.575063705444336	-0.3212435505238864	4
3779	409.3630065917969	99489.41786634405	26.57157325744629	-0.1708730777185985	4
3780	409.47100830078125	99489.61733477228	26.56744956970215	-0.18809623752016558	4
3781	409.5790100097656	99489.61733477228	26.56744956970215	-0.18809623752016558	4
3782	409.68701171875	99491.16193612137	26.56744956970215	-0.3192562897015261	4
3783	409.7950134277344	99490.16180212125	26.565547943115234	-0.23446614163566082	4
3784	409.90301513671875	99490.16180212125	26.565547943115234	-0.23446614163566082	4
3785	410.010986328125	99489.7244655409	26.564912796020508	-0.19737023486021688	4
3786	410.1189880371094	99487.97336527245	26.56047248840332	-0.04898528689442294	4
3790	410.5509948730469	99490.20266001132	26.558252334594727	-0.23777826974049399	4
3792	410.7669982910156	99488.35215178381	26.546833038330078	-0.08078223937081797	4
3793	410.875	99488.35215178381	26.546833038330078	-0.08078223937081797	4
3801	411.739013671875	99484.35528030235	26.543344497680664	0.2583902570184238	4
3802	411.84698486328125	99484.35528030235	26.543344497680664	0.2583902570184238	4
3805	412.1709899902344	99486.66380654862	26.54271125793457	0.062304811001906435	4
3808	412.4949951171875	99486.91471886424	26.544296264648438	0.04110660546228995	4
3809	412.6029968261719	99485.27785199053	26.545881271362305	0.17955816450421658	4
3813	413.0350036621094	99485.6062860295	26.546833038330078	0.15173521544086133	4
3814	413.14300537109375	99485.6062860295	26.546833038330078	0.15173521544086133	4
3816	413.3590087890625	99487.5307414783	26.553495407104492	-0.011226279785434556	4
3817	413.4670104980469	99487.5307414783	26.553495407104492	-0.011226279785434556	4
3823	414.114990234375	99486.69449299079	26.561107635498047	0.05965503294953822	4
3824	414.2229919433594	99486.69449299079	26.561107635498047	0.05965503294953822	4
3825	414.33099365234375	99488.36453333472	26.56174087524414	-0.08210711028544537	4
3826	414.4389953613281	99486.99156757262	26.56174087524414	0.034482175076538946	4
3827	414.5469970703125	99486.99156757262	26.56174087524414	0.034482175076538946	4
3828	414.6549987792969	99488.25915956614	26.566499710083008	-0.07283301034933132	4
3830	414.8710021972656	99488.72961688266	26.569353103637695	-0.11257909480273609	4
