Номер пакета	Время	Широта	Долгота	Высота	fix GPS
3863	418.73199462890625	0.0	0.0	0.0	0
3866	419.0559997558594	0.0	0.0	0.0	0
3869	419.3800048828125	0.0	0.0	0.0	0
3870	419.4880065917969	0.0	0.0	0.0	0
3871	419.59600830078125	0.0	0.0	0.0	0
3872	419.7040100097656	0.0	0.0	0.0	0
3875	420.02801513671875	0.0	0.0	0.0	0
3876	420.135986328125	0.0	0.0	0.0	0
3879	420.4599914550781	0.0	0.0	0.0	0
3880	420.5679931640625	0.0	0.0	0.0	0
3882	420.78399658203125	0.0	0.0	0.0	0
3883	420.8919982910156	0.0	0.0	0.0	0
3885	421.1080017089844	0.0	0.0	0.0	0
3886	421.21600341796875	0.0	0.0	0.0	0
3887	421.3240051269531	0.0	0.0	0.0	0
3889	421.5400085449219	0.0	0.0	0.0	0
3890	421.64801025390625	0.0	0.0	0.0	0
3892	421.864013671875	0.0	0.0	0.0	0
3893	421.97198486328125	0.0	0.0	0.0	0
3896	422.2959899902344	0.0	0.0	0.0	0
3898	422.5119934082031	0.0	0.0	0.0	0
3907	423.4840087890625	0.0	0.0	0.0	0
3910	423.8080139160156	0.0	0.0	0.0	0
3913	424.1319885253906	0.0	0.0	0.0	0
3916	424.45599365234375	0.0	0.0	0.0	0
3919	424.7799987792969	0.0	0.0	0.0	0
3923	425.2120056152344	0.0	0.0	0.0	0
3924	425.32000732421875	0.0	0.0	0.0	0
3934	426.3999938964844	0.0	0.0	0.0	0
3938	426.8320007324219	0.0	0.0	0.0	0
3939	426.94000244140625	0.0	0.0	0.0	0
3942	427.2640075683594	0.0	0.0	0.0	0
3947	427.8039855957031	0.0	0.0	0.0	0
3949	428.0199890136719	0.0	0.0	0.0	0
3951	428.2359924316406	0.0	0.0	0.0	0
3952	428.343994140625	0.0	0.0	0.0	0
3953	428.4519958496094	0.0	0.0	0.0	0
3954	428.55999755859375	0.0	0.0	0.0	0
3957	428.8840026855469	0.0	0.0	0.0	0
3958	428.99200439453125	0.0	0.0	0.0	0
3959	429.1000061035156	0.0	0.0	0.0	0
3960	429.2080078125	0.0	0.0	0.0	0
3961	429.3160095214844	0.0	0.0	0.0	0
3963	429.5320129394531	0.0	0.0	0.0	0
3964	429.6400146484375	0.0	0.0	0.0	0
3965	429.74798583984375	0.0	0.0	0.0	0
3966	429.8559875488281	0.0	0.0	0.0	0
3967	429.9639892578125	0.0	0.0	0.0	0
3969	430.17999267578125	0.0	0.0	0.0	0
