Номер пакета	Время	acc_X	acc_Y	acc_Z	gyro_X	gyro_Y	gyro_Z	mag_X	mag_Y	mag_Z	Лидар
25850	400153	-1033	-1333	414	-475	676	242	329	617	763	11521
25851	400168	-999	-1303	390	-375	588	175	338	616	770	11521
25852	400183	-919	-1221	323	-104	318	55	338	621	771	11521
25853	400198	-831	-1176	235	143	34	-50	342	630	782	11521
25854	400216	-772	-1144	162	235	-76	-110	347	623	779	11521
25855	400231	-682	-1021	69	334	-188	-209	335	624	768	11521
25857	400261	-561	-888	-35	408	-171	-161	334	615	762	11521
25858	400276	-560	-878	-66	432	-130	-94	334	612	750	11521
25859	400291	-591	-961	-103	457	-5	68	328	611	753	11521
25860	400306	-669	-1075	-46	450	118	163	333	608	726	11521
25861	400324	-708	-1115	-35	450	139	184	338	599	737	11521
25862	400339	-797	-1274	-38	465	127	211	327	607	725	11521
25863	400354	-836	-1347	-63	477	122	214	342	591	731	11521
25870	400462	-1182	-2201	23	333	212	91	372	575	713	11521
25872	400492	-1231	-2273	165	250	251	-172	376	568	705	11521
25873	400507	-1236	-2295	273	272	221	-229	370	571	704	11521
25874	400522	-1278	-2318	427	361	114	-296	369	577	703	11521
25875	400540	-1301	-2381	567	428	10	-334	361	561	701	11521
25876	400555	-1304	-2408	641	428	-15	-376	361	573	694	11521
25879	400600	-906	-2223	505	319	-202	-711	344	583	672	11521
25880	400615	-874	-2165	473	373	-210	-659	335	582	673	11521
25881	400630	-898	-2222	609	440	-130	-460	328	586	668	11521
25882	400648	-944	-2286	994	474	-94	-425	315	588	662	11521
25883	400663	-983	-2220	1148	476	-153	-483	315	578	647	11521
25884	400678	-913	-2094	1324	375	-375	-621	305	585	656	11521
25887	400723	-403	-1606	905	32	-798	-828	253	598	626	11521
25888	400738	-226	-1482	669	23	-759	-524	236	604	621	11521
25889	400756	-252	-1552	687	71	-624	-105	239	609	618	11521
25890	400771	-335	-1604	777	117	-577	74	231	607	602	11521
25891	400786	-536	-1728	1039	242	-670	264	213	604	602	11521
25892	400801	-553	-1800	1158	323	-764	288	224	600	611	11521
25893	400816	-686	-1728	1146	449	-1019	193	215	589	586	11521
25894	400831	-652	-1652	1111	423	-1138	82	200	588	589	11521
25895	400846	-618	-1598	1051	368	-1153	-5	186	585	565	11521
25896	400864	-535	-1441	879	220	-1142	-149	170	585	566	11521
25897	400879	-512	-1372	796	165	-1113	-176	162	579	570	11521
25898	400894	-372	-1319	649	57	-1020	-177	151	585	553	11521
25899	400909	-271	-1201	591	-33	-905	-154	143	592	562	11521
25900	400924	-257	-1108	595	-69	-870	-84	122	589	544	11521
25901	400939	-285	-1105	512	-105	-826	197	123	589	555	11521
25902	400954	-306	-1176	439	-164	-661	448	118	591	553	11521
25903	400972	-400	-1319	358	-377	-528	503	113	595	550	11521
25904	400987	-521	-1470	317	-542	-327	555	109	594	550	11521
25905	401002	-582	-1536	316	-562	-273	563	117	599	560	11521
25906	401017	-630	-1653	356	-568	-243	545	131	605	571	11521
25907	401032	-649	-1719	360	-551	-255	525	128	614	571	11521
25908	401047	-660	-1813	319	-551	-285	424	139	614	577	11521
25910	401080	-618	-1899	281	-566	-230	286	136	617	596	11521
25911	401095	-609	-1949	277	-535	-159	269	126	626	602	11521
25912	401110	-630	-2017	319	-508	-104	279	144	622	603	11521
25914	401140	-737	-2146	321	-396	85	243	144	633	622	11521
25915	401155	-836	-2175	561	-386	244	187	152	634	627	11521
25916	401170	-949	-2158	836	-242	204	145	149	635	620	11521
25918	401203	-936	-2020	1187	72	-206	189	169	627	622	11521
25919	401218	-901	-2072	1127	145	-411	214	168	617	629	11521
25920	401233	-851	-2101	749	221	-698	212	156	611	622	11521
25921	401248	-873	-2041	643	154	-694	197	159	608	621	11521
25922	401263	-975	-1910	681	66	-516	291	160	611	627	11521
25923	401278	-1087	-2028	799	176	-306	437	161	610	610	11521
25924	401296	-1163	-2040	899	210	-202	430	142	610	616	11521
25925	401311	-1278	-1960	1176	198	-39	292	154	598	613	11521
25926	401326	-1299	-1893	1270	143	11	122	172	596	611	11521
25927	401341	-1230	-1752	1321	-18	55	49	172	604	619	11521
25928	401356	-1178	-1581	1197	-193	128	-23	172	601	621	11521
25929	401371	-1200	-1509	1091	-293	226	-9	168	594	635	11521
25930	401386	-1173	-1471	991	-516	585	12	190	602	629	11521
25931	401404	-1129	-1351	968	-615	874	-15	192	606	648	11521
25932	401419	-1120	-1300	928	-610	949	-7	198	605	655	11521
25933	401434	-1058	-1288	812	-459	904	41	200	600	657	11521
25935	401464	-972	-1357	485	-17	522	48	232	619	667	11521
25936	401479	-896	-1396	460	94	399	20	225	608	679	11521
25937	401494	-840	-1343	442	335	150	-109	234	621	665	11521
25938	401512	-775	-1340	443	547	-83	-158	232	612	664	11521
25939	401527	-749	-1360	434	596	-158	-171	223	614	660	11521
25941	401557	-627	-1311	374	428	-182	-189	219	613	660	11521
25942	401572	-557	-1299	317	318	-137	-83	211	602	653	11521
25943	401587	-545	-1329	277	236	-61	-29	217	614	645	11521
25944	401602	-556	-1392	259	-1	182	56	217	599	642	11521
25945	401620	-566	-1451	277	-134	303	61	202	598	648	11521
25946	401635	-613	-1420	263	-137	306	47	214	603	646	11521
25947	401650	-744	-1525	237	-140	318	107	229	605	659	11521
25948	401665	-796	-1679	197	-148	359	119	234	608	668	11521
25949	401680	-921	-1870	341	-151	455	18	243	599	664	11521
25950	401695	-953	-1968	484	-148	460	-78	236	608	674	11521
25951	401710	-923	-2030	678	-162	300	-363	244	612	672	11521
25952	401728	-836	-1859	620	-254	20	-657	241	605	677	11521
25953	401743	-786	-1732	536	-344	-82	-705	236	616	690	11521
25954	401758	-674	-1643	354	-493	-186	-561	215	624	692	11521
25955	401773	-604	-1701	89	-578	-128	-299	222	624	697	11521
25956	401788	-596	-1763	51	-653	-23	-145	221	635	704	11521
