Номер пакета	Время	acc_X	acc_Y	acc_Z	gyro_X	gyro_Y	gyro_Z	mag_X	mag_Y	mag_Z	Лидар
25958	401818	-690	-1912	6	-771	190	217	233	634	733	11521
25960	401851	-972	-2041	57	-736	378	491	249	641	770	11521
25961	401866	-987	-2140	34	-659	365	511	262	645	772	11521
25962	401881	-993	-2245	-51	-564	356	442	255	643	785	11521
25963	401896	-1006	-2235	-15	-524	347	379	265	643	785	11521
25964	401911	-1038	-2193	104	-340	236	307	287	642	794	11521
25965	401926	-1116	-2254	224	-117	45	272	280	631	803	11521
25967	401959	-1305	-2268	669	114	-281	66	278	632	799	11521
25968	401974	-1277	-2212	782	162	-406	-63	290	632	791	11521
25969	401989	-1149	-2064	885	123	-619	-353	283	636	783	11521
25970	402004	-1033	-1980	878	47	-733	-463	269	639	781	11521
25971	402019	-795	-1779	700	-10	-1020	-528	261	642	779	11521
25972	402034	-622	-1664	349	-7	-1144	-366	236	645	768	11521
25973	402052	-559	-1661	231	-2	-1079	-224	232	646	769	11521
25974	402067	-555	-1636	188	4	-776	85	228	653	759	11521
25975	402082	-603	-1674	222	7	-588	235	232	645	765	11521
25976	402097	-772	-1696	474	21	-303	456	222	654	759	11521
25977	402112	-846	-1712	583	32	-255	503	238	637	753	11521
25979	402142	-935	-1674	603	60	-528	209	233	632	742	11521
25980	402160	-888	-1564	520	59	-601	62	225	651	739	11521
25981	402175	-801	-1326	467	80	-685	-112	229	651	729	11521
25982	402190	-753	-1271	450	126	-714	-119	218	652	727	11521
25983	402205	-640	-1264	374	158	-706	-127	214	638	715	11521
25984	402220	-554	-1175	296	91	-651	-167	206	641	726	11521
25985	402235	-522	-1119	242	62	-624	-141	192	653	715	11521
25986	402250	-474	-1109	123	10	-527	24	185	647	710	11521
25988	402283	-555	-1233	23	-131	-198	330	192	646	709	11521
25989	402298	-647	-1406	41	-191	8	488	195	642	712	11521
25990	402313	-721	-1510	24	-198	67	533	205	639	717	11521
25991	402328	-816	-1721	3	-225	119	555	218	636	718	11521
25992	402343	-851	-1807	-20	-235	130	540	212	638	719	11521
25993	402358	-958	-1883	9	-240	147	487	237	632	734	11521
25994	402376	-1004	-1973	31	-240	200	436	247	637	732	11521
25995	402391	-1009	-2018	38	-253	238	391	248	636	737	11521
25996	402406	-1044	-2061	61	-275	294	292	253	634	750	11521
25997	402421	-1044	-2080	77	-265	288	259	250	631	744	11521
25998	402436	-1043	-2109	92	-145	222	215	256	633	749	11521
25999	402451	-1039	-2129	62	-87	203	197	270	634	757	11521
26000	402466	-1047	-2128	94	-22	205	158	270	638	758	11521
26001	402484	-1130	-2066	211	94	207	148	269	630	762	11521
26002	402499	-1168	-2056	327	146	205	161	278	624	754	11521
26003	402514	-1237	-2092	453	224	127	154	288	625	755	11521
26004	402529	-1240	-2167	479	255	65	135	283	620	753	11521
26005	402544	-1257	-2133	461	250	-105	41	287	624	760	11521
26006	402559	-1304	-2054	461	312	-188	31	276	620	752	11521
26007	402574	-1401	-2029	518	426	-201	103	273	613	747	11521
26008	402592	-1509	-2015	718	456	-55	80	284	612	741	11521
26009	402607	-1584	-1943	849	435	29	25	286	607	727	11521
26010	402622	-1636	-1779	1079	373	141	-82	280	609	724	11521
26011	402637	-1586	-1759	1141	34	252	-250	279	614	724	11521
26012	402652	-1398	-1607	1146	37	271	-349	282	608	720	11521
26013	402667	-1211	-1316	980	-116	251	-402	280	609	731	11521
26014	402682	-1142	-1213	835	-142	274	-322	276	605	727	11521
26015	402700	-1014	-1178	564	-174	471	-78	287	614	740	11521
26016	402715	-1018	-1166	369	-163	756	130	282	603	743	11521
26017	402730	-1065	-1168	343	-118	881	216	301	615	755	11521
26018	402745	-1121	-1304	366	115	965	345	296	606	754	11521
26019	402760	-1100	-1374	374	273	900	315	311	600	757	11521
26021	402790	-938	-1299	347	821	266	-105	337	587	754	11521
26022	402808	-902	-1260	326	926	84	-166	325	590	746	11521
26023	402823	-834	-1171	256	1068	-129	-191	328	582	737	11521
26024	402838	-837	-1144	256	1054	-127	-174	315	578	729	11521
26025	402853	-848	-1180	282	936	0	-115	317	578	706	11521
26026	402868	-868	-1154	324	848	89	-105	330	571	708	11521
26027	402883	-916	-1153	377	604	243	-67	326	564	694	11521
26028	402898	-933	-1217	277	418	302	-65	328	550	698	11521
26029	402916	-942	-1249	218	347	304	-104	335	550	694	11521
26031	402946	-843	-1280	25	276	246	-331	333	552	688	11521
26032	402961	-762	-1249	-71	268	203	-448	325	552	693	11521
26033	402976	-745	-1264	-124	286	186	-459	327	553	688	11521
26034	402991	-729	-1340	-186	387	164	-389	323	551	690	11521
26035	403006	-822	-1428	-128	521	206	-260	318	554	680	11521
26037	403039	-1062	-1700	194	593	396	-56	327	540	676	11521
26038	403054	-1118	-1787	341	574	439	-48	329	532	674	11521
26039	403069	-1230	-1951	559	518	423	-67	331	529	664	11521
26040	403084	-1267	-2123	694	428	340	-126	338	526	665	11521
26041	403099	-1273	-2170	758	366	289	-166	335	534	662	11521
26042	403114	-1274	-2183	773	235	207	-211	332	528	663	11521
26043	403132	-1283	-2171	794	185	189	-190	325	529	672	11521
26044	403147	-1330	-2218	782	96	233	-128	324	529	664	11521
26045	403162	-1357	-2242	868	-3	333	-148	338	520	671	11521
26046	403177	-1338	-2242	910	-29	328	-203	341	525	683	11521
26047	403192	-1213	-2256	820	2	138	-351	335	532	685	11521
26049	403222	-1008	-2086	571	137	-186	-507	322	546	654	11521
26050	403240	-942	-2081	611	278	-206	-418	322	538	675	11521
26051	403255	-961	-2122	705	305	-161	-364	321	543	663	11521
26053	403285	-1012	-2082	1215	299	-127	-364	302	530	665	11521
26054	403300	-971	-1962	1404	134	-239	-422	297	536	644	11521
26081	403717	-1146	-1945	349	-305	403	638	325	566	726	11521
26083	403747	-1247	-2070	259	-148	245	493	343	562	735	11521
26084	403762	-1287	-2071	204	52	131	359	362	558	732	11521
26086	403795	-1370	-1986	331	356	-29	213	356	556	738	11521
26087	403810	-1403	-1969	390	436	-87	195	360	550	729	11521
26088	403825	-1489	-1922	511	484	-186	168	359	559	726	11521
26089	403840	-1494	-1948	508	474	-230	165	362	541	713	11521
26090	403855	-1472	-1956	359	382	-254	138	361	530	708	11521
26091	403870	-1548	-1725	315	380	-192	189	347	534	709	11521
26101	404026	-1276	-1076	473	120	237	-541	391	525	727	11521
26102	404041	-1268	-1097	395	185	305	-463	390	526	723	11521
26103	404056	-1352	-1158	412	375	462	-240	391	526	735	11521
26104	404071	-1391	-1278	515	499	505	-155	395	525	733	11521
26107	404119	-1193	-1315	639	772	78	-488	395	506	718	11521
26110	404164	-815	-1051	125	474	-4	-440	381	511	694	11521
26111	404179	-773	-1023	52	413	91	-371	379	513	691	11521
26112	404194	-771	-1010	-24	255	343	-240	367	512	690	11521
26113	404212	-755	-1072	36	200	508	-103	367	516	698	11521
26114	404227	-783	-1134	44	196	532	-77	382	510	692	11521
26115	404242	-782	-1250	58	180	524	-117	388	507	693	11521
26116	404257	-757	-1275	52	162	500	-180	388	504	701	11521
26118	404287	-729	-1270	43	134	392	-288	378	502	712	11521
26119	404302	-759	-1373	40	152	324	-244	392	505	712	11521
26120	404320	-840	-1454	-6	111	334	-214	391	511	718	11521
26121	404335	-886	-1509	-9	68	384	-193	386	513	717	11521
26122	404350	-972	-1600	3	25	469	-106	394	514	712	11521
26123	404365	-1017	-1712	10	27	501	-68	400	507	721	11521
26125	404395	-1103	-1922	39	121	487	-123	405	506	724	11521
26126	404410	-1204	-1958	164	154	480	-132	414	503	734	11521
26127	404428	-1331	-2032	408	303	418	-104	418	499	738	11521
26129	404458	-1391	-2225	713	397	256	-205	410	500	737	11521
26131	404488	-1216	-2254	725	308	-141	-563	402	518	738	11521
26132	404503	-1162	-2162	608	394	-416	-562	380	510	723	11521
26133	404518	-1148	-2205	609	443	-414	-424	387	513	715	11521
26134	404536	-1135	-2300	774	405	-367	-424	375	507	706	11521
26135	404551	-1178	-2125	1068	345	-382	-472	365	522	701	11521
26136	404566	-1196	-2067	1183	343	-464	-474	366	520	682	11521
26137	404581	-1090	-2001	1296	285	-684	-514	351	510	684	11521
26138	404596	-1023	-1928	1291	234	-790	-548	345	520	674	11521
26139	404611	-792	-1817	1184	74	-919	-531	340	524	667	11521
26140	404626	-627	-1691	1013	-69	-978	-395	311	534	655	11521
26141	404644	-588	-1656	915	-113	-961	-261	306	532	654	11521
26142	404659	-604	-1676	871	-184	-798	67	298	531	646	11521
26146	404719	-1032	-1733	1138	-377	-361	507	297	530	650	11521
26147	404734	-1200	-1729	1206	-400	-622	307	300	525	657	11521
26148	404752	-1341	-1806	1241	-439	-874	138	290	542	643	11521
26149	404767	-1506	-1888	1151	-397	-1760	-441	276	547	631	11521
26150	404782	-1425	-1761	914	-219	-2308	-831	247	561	632	11521
26151	404797	-1089	-1255	339	130	-2968	-1417	210	571	607	11521
26152	404812	-905	-1025	88	191	-2977	-1517	158	563	596	11521
26153	404827	-467	-790	-217	128	-2472	-1342	95	576	587	11521
26154	404842	-184	-650	-221	-99	-1595	-894	72	583	576	11521
26155	404860	-100	-651	-142	-198	-1155	-570	60	584	577	11521
26156	404875	-120	-799	-15	-283	-416	126	40	587	582	11521
26157	404890	-163	-973	10	-339	-105	469	68	589	585	11521
26158	404905	-362	-1368	108	-512	400	886	75	590	585	11521
26161	404950	-800	-2058	545	-539	752	864	142	596	620	11521
26162	404968	-858	-2157	682	-502	600	637	157	595	632	11521
26163	404983	-873	-2152	725	-486	495	513	169	600	640	11521
26164	404998	-832	-2118	724	-408	264	323	177	596	643	11521
26165	405013	-806	-2097	713	-348	162	261	166	594	645	11521
26166	405028	-731	-2026	707	-229	22	205	190	600	646	11521
26167	405043	-700	-2029	697	-192	-10	204	188	601	650	11521
26168	405058	-652	-1954	689	-219	-6	197	188	594	655	11521
26169	405076	-664	-1832	670	-253	10	275	175	603	654	11521
26170	405091	-699	-1812	620	-217	20	366	198	601	667	11521
26171	405106	-782	-1837	588	-166	122	535	207	590	653	11521
26172	405121	-833	-1851	625	-154	190	574	210	593	668	11521
26173	405136	-961	-1810	661	-123	266	626	218	588	677	11521
26174	405151	-1023	-1828	664	-120	284	673	221	595	679	11521
26175	405166	-1174	-1815	649	-43	267	714	234	590	687	11521
26176	405184	-1338	-1797	693	128	340	740	255	579	686	11521
26177	405199	-1428	-1807	797	212	414	742	252	569	673	11521
26178	405214	-1531	-1889	1078	295	535	620	272	565	670	11521
26179	405229	-1547	-1848	1223	284	526	462	292	559	676	11521
26181	405259	-1433	-1645	1294	184	191	-46	296	552	679	11521
26185	405322	-1050	-1189	627	109	454	-176	299	560	683	11521
26187	405352	-1094	-1313	716	289	659	-93	302	560	680	11521
26189	405382	-1018	-1401	689	620	78	-456	300	550	669	11521
26190	405400	-890	-1299	617	815	55	-548	292	547	663	11521
26191	405415	-725	-1207	481	929	-114	-617	296	545	644	11521
26192	405430	-670	-1181	446	937	-127	-616	290	540	642	11521
26193	405445	-587	-1112	373	898	-69	-542	273	542	631	11521
26194	405460	-564	-1100	366	877	-14	-465	271	533	627	11521
26195	405475	-530	-1139	342	833	117	-294	262	526	625	11521
26197	405508	-556	-1222	357	698	316	-136	271	516	610	11521
26198	405523	-589	-1294	356	675	324	-117	269	515	617	11521
26199	405538	-593	-1322	342	661	317	-126	262	511	600	11521
26200	405553	-617	-1366	387	625	292	-160	276	505	600	11521
26201	405568	-649	-1413	387	633	272	-164	275	488	592	11521
26202	405583	-678	-1502	416	600	271	-184	278	489	591	11521
26204	405616	-760	-1668	502	534	272	-164	285	485	572	11521
26209	405691	-956	-2083	595	268	180	-179	289	473	561	11521
26210	405706	-1004	-2143	603	225	191	-198	292	467	558	11521
26222	405892	-771	-2098	1653	66	-65	-629	268	503	580	11521
26223	405907	-677	-2027	1670	-15	-205	-673	255	504	580	11521
26226	405955	-280	-1647	1064	-322	-631	-401	220	520	568	11521
26235	406093	-530	-1323	957	-502	-861	219	205	539	588	11521
26236	406108	-450	-1161	689	-536	-888	199	195	541	597	11521
26239	406156	-437	-1057	339	-485	-811	444	180	557	607	11521
26240	406171	-464	-1104	307	-451	-784	493	182	562	608	11521
26241	406186	-519	-1256	265	-367	-718	497	187	556	605	11521
26243	406216	-559	-1387	323	-311	-598	382	180	560	612	11521
26244	406231	-563	-1474	358	-327	-524	343	188	559	615	11521
26245	406246	-577	-1528	381	-332	-498	338	182	561	603	11521
26246	406264	-580	-1607	387	-355	-434	346	165	557	615	11521
26247	406279	-584	-1632	430	-381	-367	362	189	567	602	11521
26249	406309	-630	-1783	473	-486	-241	386	188	570	620	11521
26250	406324	-616	-1814	453	-545	-189	385	195	579	629	11521
26251	406339	-626	-1853	332	-594	-136	379	182	571	636	11521
26252	406354	-662	-1911	223	-502	-117	393	198	579	642	11521
26254	406387	-709	-2028	200	-279	53	380	209	580	655	11521
26256	406417	-860	-1990	536	-30	267	333	221	579	641	11521
26257	406432	-916	-1994	712	8	310	342	228	570	644	11521
26258	406447	-1045	-2058	965	30	288	359	237	570	655	11521
26259	406462	-1210	-2100	990	-41	196	351	249	564	652	11521
26263	406525	-1728	-2155	1172	144	331	198	270	561	652	11521
26264	406540	-1759	-2116	1283	133	313	39	265	556	665	11521
26265	406555	-1701	-1893	1340	150	64	-272	268	562	661	11521
26266	406570	-1452	-1669	1127	144	-184	-476	267	557	649	11521
26267	406588	-1298	-1576	973	75	-213	-549	251	558	649	11521
26268	406603	-1030	-1365	738	-98	-129	-634	248	574	653	11521
26269	406618	-942	-1240	667	-154	-67	-607	242	569	651	11521
26270	406633	-812	-1121	524	-153	99	-405	233	575	647	11521
26271	406648	-785	-1094	505	-139	203	-16	229	581	657	11521
26272	406663	-845	-1110	499	-50	422	-13	237	575	655	11521
26282	406819	-624	-1206	555	668	-44	-195	231	545	608	11521
26284	406849	-611	-1303	325	539	52	-65	235	537	604	11521
26293	406987	-725	-1698	540	282	143	-91	231	505	579	11521
26294	407002	-774	-1835	585	220	141	-65	242	509	579	11521
26295	407020	-818	-1921	593	175	97	-80	246	504	584	11521
26296	407035	-845	-1956	604	166	70	-83	235	505	580	11521
26297	407050	-857	-2025	624	163	30	-80	246	511	586	11521
26298	407065	-877	-2051	625	162	20	-75	233	514	586	11521
26304	407158	-1003	-2262	932	87	9	-295	247	496	575	11521
26320	407404	-933	-1502	1366	-433	-486	454	168	525	562	11521
26321	407419	-922	-1415	1214	-372	-667	400	172	525	547	11521
26322	407434	-846	-1291	1037	-416	-725	326	166	523	548	11521
26324	407467	-694	-1119	703	-607	-653	288	153	537	563	11521
26325	407482	-659	-1081	565	-651	-619	294	160	540	570	11521
26326	407497	-590	-1049	358	-681	-513	327	153	550	578	11521
26328	407527	-588	-1041	225	-515	-377	410	155	557	578	11521
26338	407683	-870	-1865	310	-346	219	528	203	560	628	11521
26339	407698	-936	-1983	388	-219	247	473	212	569	629	11521
26340	407713	-977	-2040	431	-140	241	435	211	563	634	11521
26341	407728	-1089	-2159	545	30	259	383	214	553	630	11521
26342	407743	-1145	-2192	683	119	278	350	229	558	621	11521
26343	407758	-1272	-2225	1020	207	279	234	236	552	628	11521
26344	407776	-1300	-2194	1166	100	175	42	238	548	625	11521
26345	407791	-1260	-2174	1110	11	76	-65	236	549	627	11521
26346	407806	-1191	-2071	776	-72	-176	-258	242	555	628	11521
26347	407821	-1184	-1990	611	2	-284	-298	237	559	613	11521
26348	407836	-1158	-1962	458	228	-257	-275	225	559	624	11521
26349	407851	-1149	-1981	520	304	-124	-276	225	556	616	11521
26350	407866	-1228	-1922	932	384	160	-380	224	559	603	11521
26351	407884	-1242	-1819	1395	422	204	-486	210	560	602	11521
26352	407899	-1213	-1763	1515	389	140	-553	220	552	613	11521
26354	407929	-1045	-1517	1520	95	-93	-704	196	554	610	11521
26355	407944	-923	-1276	1339	-81	-108	-596	193	559	609	11521
26356	407959	-910	-1187	1245	-170	-22	-490	177	566	604	11521
26357	407974	-915	-1083	1129	-338	252	-230	194	564	610	11521
26358	407992	-995	-1063	1027	-344	444	33	189	568	618	11521
26359	408007	-1046	-1127	969	-315	493	142	204	579	633	11521
26360	408022	-1101	-1269	889	-176	461	222	204	574	628	11521
26361	408037	-1087	-1324	829	34	276	112	216	570	632	11521
26362	408052	-1017	-1314	711	121	160	24	214	573	627	11521
26363	408067	-873	-1270	579	234	-77	-106	205	572	642	11521
26364	408082	-812	-1223	499	273	-177	-142	213	570	629	11521
26365	408100	-735	-1113	330	321	-276	-120	202	563	630	11521
26366	408115	-713	-1083	167	315	-168	28	208	565	615	11521
26367	408130	-724	-1103	136	274	-35	117	202	559	607	11521
26368	408145	-777	-1190	158	164	231	236	218	553	615	11521
26369	408160	-785	-1222	160	141	300	252	216	546	613	11521
26370	408175	-813	-1253	103	152	352	230	220	548	621	11521
26371	408190	-850	-1321	104	171	347	201	220	543	612	11521
26372	408208	-849	-1384	95	206	324	176	230	539	616	11521
26373	408223	-881	-1485	74	15147	263	56	235	540	614	11521
26374	408238	-891	-1533	94	339	255	-22	228	532	611	11521
26375	408253	-894	-1525	182	399	266	-160	238	531	605	11521
26376	408268	-891	-1515	236	419	271	-199	243	526	607	11521
26377	408283	-932	-1530	374	437	273	-202	244	524	597	11521
26378	408298	-951	-1651	478	406	283	-162	239	517	603	11521
26379	408316	-972	-1685	525	350	296	-160	235	524	608	11521
26380	408331	-993	-1750	601	222	307	-156	246	515	603	11521
26381	408346	-1001	-1794	575	154	294	-150	248	515	601	11521
26382	408361	-978	-1878	504	44	271	-137	250	519	596	11521
26383	408376	-986	-1905	458	14	261	-131	253	519	602	11521
26386	408424	-1087	-2009	568	128	362	-63	258	521	602	11521
26387	408439	-1142	-2094	780	187	394	-56	257	511	609	11521
26388	408454	-1159	-2133	870	190	366	-96	263	515	610	11521
26389	408469	-1129	-2299	897	190	192	-238	268	520	606	11521
26390	408484	-1088	-2225	775	289	-80	-424	271	516	602	11521
26391	408499	-1067	-2191	746	371	-151	-447	266	507	605	11521
26392	408514	-994	-2293	857	427	-125	-446	256	513	605	11521
26393	408532	-960	-2320	960	422	-110	-496	256	517	589	11521
26399	408622	-359	-1685	1002	-90	-628	-276	191	520	566	11521
26401	408655	-408	-1676	981	-121	-362	91	168	536	572	11521
26402	408670	-544	-1724	1136	-74	-199	284	166	534	568	11521
26404	408700	-743	-1664	1353	-27	-230	215	182	523	572	11521
26405	408715	-775	-1590	1386	-16	-313	140	166	523	562	11521
26406	408730	-770	-1461	1303	-15	-467	29	168	522	573	11521
26407	408748	-711	-1328	1138	-146	-485	-20	162	512	567	11521
26408	408763	-670	-1239	1028	-248	-466	-19	159	519	574	11521
26409	408778	-622	-1105	740	-420	-400	64	164	524	571	11521
26410	408793	-588	-1093	537	-507	-328	131	145	537	584	11521
26411	408808	-570	-1096	203	-566	-139	206	154	538	572	11521
26412	408823	-562	-1123	123	-531	-34	245	159	549	590	11521
26413	408838	-581	-1238	125	-342	126	271	167	545	594	11521
26414	408856	-578	-1381	309	-146	176	199	163	551	581	11521
26415	408871	-567	-1416	430	-97	147	134	180	536	591	11521
26416	408886	-545	-1427	600	-45	-33	19	173	536	583	11521
26418	408916	-478	-1447	566	-177	-275	27	174	543	592	11521
26419	408931	-469	-1438	460	-344	-259	156	163	548	595	11521
26421	408964	-577	-1599	382	-485	-53	480	173	547	600	11521
26422	408979	-630	-1683	379	-497	20	557	184	551	611	11521
26423	408994	-715	-1795	463	-479	89	617	185	554	612	11521
26424	409009	-828	-1844	530	-362	49	629	198	554	617	11521
26425	409024	-872	-1857	554	-300	21	638	214	553	618	11521
26426	409039	-966	-1958	613	-145	-29	638	215	547	625	11521
26427	409054	-1008	-1984	636	-68	-57	599	222	544	622	11521
26428	409072	-1042	-2000	705	57	-92	465	235	540	621	11521
26429	409087	-1054	-1934	849	165	-186	301	238	540	624	11521
26430	409102	-1008	-1936	868	212	-273	239	243	537	614	11521
26431	409117	-1002	-1870	802	248	-431	164	232	533	614	11521
26432	409132	-976	-1886	730	278	-511	183	226	535	612	11521
26433	409147	-1043	-1803	642	444	-625	228	216	529	608	11521
26434	409162	-1128	-1856	710	604	-493	346	215	530	592	11521
26437	409210	-1485	-1844	1476	680	4	227	221	509	574	11521
26441	409270	-1215	-1272	1394	57	-336	-255	214	490	561	11521
26442	409288	-1202	-1246	1244	16	-272	-160	216	490	566	11521
26443	409303	-1228	-1224	1099	-111	61	9	214	498	563	11521
26444	409318	-1250	-1238	1097	-159	250	66	207	499	565	11521
26445	409333	-1305	-1288	1097	-155	461	117	227	497	565	11521
26446	409348	-1312	-1329	1094	-120	472	89	232	491	564	11521
26447	409363	-1275	-1320	1027	-41	346	-83	233	491	563	11521
26449	409396	-1067	-1185	794	92	-12	-375	244	489	576	11521
26450	409411	-912	-1082	595	147	-196	-501	238	489	560	11521
26451	409426	-849	-1029	485	168	-250	-528	219	493	564	11521
26452	409441	-747	-953	336	188	-236	-488	215	495	552	11521
26453	409456	-704	-971	215	203	-106	-359	195	492	560	11521
26454	409471	-706	-995	209	197	-10	-288	203	501	543	11521
26455	409486	-731	-1093	221	172	173	-211	205	503	546	11521
26456	409504	-753	-1128	257	161	271	-209	208	499	550	11521
26457	409519	-778	-1218	339	183	268	-230	201	505	543	11521
26458	409534	-776	-1293	377	274	191	-304	198	498	537	11521
26459	409549	-767	-1326	391	301	158	-346	197	510	551	11521
26460	409564	-772	-1318	469	340	120	-395	199	499	539	11521
26461	409579	-777	-1354	489	372	109	-382	200	501	537	11521
26462	409594	-793	-1424	542	420	143	-323	201	491	543	11521
26463	409612	-796	-1512	656	347	253	-286	195	484	535	11521
26464	409627	-822	-1528	701	296	281	-285	204	487	539	11521
26465	409642	-830	-1586	739	175	287	-246	205	482	541	11521
26466	409657	-823	-1704	741	118	257	-217	199	484	530	11521
26467	409672	-843	-1850	703	76	138	-247	196	485	532	11521
26468	409687	-844	-1893	705	81	70	-274	192	486	530	11521
