Íîìåğ ïàêåòà	Âğåìÿ	Øèğîòà	Äîëãîòà	Âûñîòà	fix GPS
0	0	-4.637692555978556e-38	1.1814095118998954e-39	9.375260698184014e-38	32
1	1251	nan	nan	nan	0
1	1579	nan	nan	nan	0
1	1579	nan	nan	nan	0
1	1594	nan	nan	nan	0
1	1600	nan	nan	nan	0
1	1600	nan	nan	nan	0
1	1614	nan	nan	nan	0
1	1619	nan	nan	nan	0
1	1620	nan	nan	nan	0
1	1633	nan	nan	nan	0
1	1634	nan	nan	nan	0
1	1648	nan	nan	nan	0
1	1654	nan	nan	nan	0
1	1655	nan	nan	nan	0
1	1669	nan	nan	nan	0
2	1669	nan	nan	nan	0
2	1675	nan	nan	nan	0
2	1691	nan	nan	nan	0
2	1697	nan	nan	nan	0
2	1697	nan	nan	nan	0
2	1712	nan	nan	nan	0
2	1712	nan	nan	nan	0
2	1726	nan	nan	nan	0
2	1732	nan	nan	nan	0
2	1733	nan	nan	nan	0
2	1747	nan	nan	nan	0
2	1747	nan	nan	nan	0
2	1761	nan	nan	nan	0
2	1767	nan	nan	nan	0
3	1768	nan	nan	nan	0
3	1785	nan	nan	nan	0
3	1785	nan	nan	nan	0
3	1800	nan	nan	nan	0
3	1807	nan	nan	nan	0
3	1807	nan	nan	nan	0
3	1821	nan	nan	nan	0
3	1826	nan	nan	nan	0
3	1827	nan	nan	nan	0
3	1840	nan	nan	nan	0
3	1847	nan	nan	nan	0
3	1847	nan	nan	nan	0
3	1861	nan	nan	nan	0
3	1861	nan	nan	nan	0
3	1875	nan	nan	nan	0
4	1876	nan	nan	nan	0
4	1882	nan	nan	nan	0
4	1895	nan	nan	nan	0
4	1900	nan	nan	nan	0
4	1901	nan	nan	nan	0
4	1917	nan	nan	nan	0
4	1922	nan	nan	nan	0
4	1923	nan	nan	nan	0
4	1936	nan	nan	nan	0
4	1937	nan	nan	nan	0
4	1951	nan	nan	nan	0
4	1957	nan	nan	nan	0
4	1957	nan	nan	nan	0
4	1972	nan	nan	nan	0
5	1972	nan	nan	nan	0
5	1989	nan	nan	nan	0
5	1989	nan	nan	nan	0
5	2003	nan	nan	nan	0
5	2009	nan	nan	nan	0
5	2010	nan	nan	nan	0
5	2024	nan	nan	nan	0
5	2030	nan	nan	nan	0
5	2030	nan	nan	nan	0
5	2045	nan	nan	nan	0
5	2051	nan	nan	nan	0
5	2051	nan	nan	nan	0
5	2065	nan	nan	nan	0
5	2070	nan	nan	nan	0
5	2071	nan	nan	nan	0
6	2080	nan	nan	nan	0
6	2086	nan	nan	nan	0
6	2098	nan	nan	nan	0
6	2103	nan	nan	nan	0
6	2104	nan	nan	nan	0
6	2118	nan	nan	nan	0
6	2124	nan	nan	nan	0
6	2124	nan	nan	nan	0
6	2140	nan	nan	nan	0
6	2146	nan	nan	nan	0
6	2146	nan	nan	nan	0
6	2160	nan	nan	nan	0
6	2160	nan	nan	nan	0
6	2173	nan	nan	nan	0
6	2180	nan	nan	nan	0
7	2180	nan	nan	nan	0
7	2198	nan	nan	nan	0
7	2198	nan	nan	nan	0
7	2214	nan	nan	nan	0
7	2215	nan	nan	nan	0
7	2229	nan	nan	nan	0
7	2235	nan	nan	nan	0
7	2236	nan	nan	nan	0
7	2250	nan	nan	nan	0
7	2256	nan	nan	nan	0
7	2256	nan	nan	nan	0
7	2271	nan	nan	nan	0
7	2277	nan	nan	nan	0
7	2277	nan	nan	nan	0
8	2290	nan	nan	nan	0
8	2293	nan	nan	nan	0
8	2309	nan	nan	nan	0
8	2315	nan	nan	nan	0
8	2315	nan	nan	nan	0
8	2331	nan	nan	nan	0
8	2331	nan	nan	nan	0
8	2345	nan	nan	nan	0
8	2350	nan	nan	nan	0
8	2351	nan	nan	nan	0
8	2364	nan	nan	nan	0
8	2371	nan	nan	nan	0
8	2371	nan	nan	nan	0
8	2385	nan	nan	nan	0
9	2390	nan	nan	nan	0
9	2394	nan	nan	nan	0
9	2407	nan	nan	nan	0
9	2414	nan	nan	nan	0
9	2414	nan	nan	nan	0
9	2428	nan	nan	nan	0
9	2428	nan	nan	nan	0
9	2442	nan	nan	nan	0
9	2448	nan	nan	nan	0
9	2448	nan	nan	nan	0
9	2462	nan	nan	nan	0
9	2467	nan	nan	nan	0
9	2468	nan	nan	nan	0
9	2484	nan	nan	nan	0
9	2490	nan	nan	nan	0
10	2490	nan	nan	nan	0
10	2507	nan	nan	nan	0
10	2507	nan	nan	nan	0
10	2521	nan	nan	nan	0
10	2527	nan	nan	nan	0
10	2528	nan	nan	nan	0
10	2542	nan	nan	nan	0
10	2542	nan	nan	nan	0
10	2556	nan	nan	nan	0
10	2561	nan	nan	nan	0
10	2562	nan	nan	nan	0
10	2575	nan	nan	nan	0
10	2582	nan	nan	nan	0
10	2582	nan	nan	nan	0
10	2598	nan	nan	nan	0
11	2598	nan	nan	nan	0
11	2604	nan	nan	nan	0
11	2618	nan	nan	nan	0
11	2618	nan	nan	nan	0
11	2632	nan	nan	nan	0
11	2638	nan	nan	nan	0
11	2639	nan	nan	nan	0
11	2653	nan	nan	nan	0
11	2653	nan	nan	nan	0
11	2667	nan	nan	nan	0
11	2672	nan	nan	nan	0
11	2673	nan	nan	nan	0
11	2686	nan	nan	nan	0
11	2693	nan	nan	nan	0
12	2693	nan	nan	nan	0
12	2712	nan	nan	nan	0
12	2712	nan	nan	nan	0
12	2726	nan	nan	nan	0
12	2731	nan	nan	nan	0
12	2732	nan	nan	nan	0
12	2745	nan	nan	nan	0
12	2752	nan	nan	nan	0
12	2752	nan	nan	nan	0
12	2766	nan	nan	nan	0
12	2766	nan	nan	nan	0
12	2780	nan	nan	nan	0
12	2785	nan	nan	nan	0
12	2786	nan	nan	nan	0
12	2799	nan	nan	nan	0
13	2804	nan	nan	nan	0
13	2808	nan	nan	nan	0
13	2825	nan	nan	nan	0
13	2830	nan	nan	nan	0
13	2831	nan	nan	nan	0
13	2844	nan	nan	nan	0
13	2845	nan	nan	nan	0
13	2858	nan	nan	nan	0
13	2865	nan	nan	nan	0
13	2865	nan	nan	nan	0
13	2879	nan	nan	nan	0
13	2879	nan	nan	nan	0
13	2894	nan	nan	nan	0
13	2900	nan	nan	nan	0
14	2900	nan	nan	nan	0
14	2917	nan	nan	nan	0
14	2917	nan	nan	nan	0
14	2931	nan	nan	nan	0
14	2938	nan	nan	nan	0
14	2938	nan	nan	nan	0
14	2952	nan	nan	nan	0
