Íîìåğ ïàêåòà	Âğåìÿ	Øèğîòà	Äîëãîòà	Âûñîòà	fix GPS
97	11707	nan	nan	nan	0
98	11815	nan	nan	nan	0
99	11923	nan	nan	nan	0
100	12031	nan	nan	nan	0
101	12139	nan	nan	nan	0
102	12247	nan	nan	nan	0
103	12355	nan	nan	nan	0
104	12463	nan	nan	nan	0
105	12571	nan	nan	nan	0
106	12679	nan	nan	nan	0
107	12787	nan	nan	nan	0
108	12895	nan	nan	nan	0
109	13003	nan	nan	nan	0
110	13111	nan	nan	nan	0
111	13219	nan	nan	nan	0
112	13327	nan	nan	nan	0
113	13435	nan	nan	nan	0
114	13543	nan	nan	nan	0
115	13651	nan	nan	nan	0
116	13759	nan	nan	nan	0
117	13867	nan	nan	nan	0
118	13975	nan	nan	nan	0
119	14083	nan	nan	nan	0
120	14191	nan	nan	nan	0
121	14299	nan	nan	nan	0
122	14407	nan	nan	nan	0
123	14515	nan	nan	nan	0
124	14623	nan	nan	nan	0
125	14731	nan	nan	nan	0
126	14839	nan	nan	nan	0
127	14947	nan	nan	nan	0
128	15055	nan	nan	nan	0
129	15163	nan	nan	nan	0
130	15271	nan	nan	nan	0
131	15379	nan	nan	nan	0
132	15487	nan	nan	nan	0
133	15595	nan	nan	nan	0
134	15703	nan	nan	nan	0
135	15811	nan	nan	nan	0
136	15919	nan	nan	nan	0
137	16027	nan	nan	nan	0
138	16135	nan	nan	nan	0
139	16243	nan	nan	nan	0
140	16351	nan	nan	nan	0
141	16459	nan	nan	nan	0
142	16567	nan	nan	nan	0
143	16675	nan	nan	nan	0
144	16783	nan	nan	nan	0
145	16891	nan	nan	nan	0
146	16999	nan	nan	nan	0
147	17107	nan	nan	nan	0
148	17215	nan	nan	nan	0
149	17323	nan	nan	nan	0
150	17431	nan	nan	nan	0
151	17539	nan	nan	nan	0
152	17647	nan	nan	nan	0
153	17755	nan	nan	nan	0
154	17863	nan	nan	nan	0
155	17971	nan	nan	nan	0
156	18079	nan	nan	nan	0
157	18187	nan	nan	nan	0
158	18295	nan	nan	nan	0
159	18403	nan	nan	nan	0
161	18619	nan	nan	nan	0
162	18727	nan	nan	nan	0
164	18943	nan	nan	nan	0
165	19051	nan	nan	nan	0
166	19159	nan	nan	nan	0
167	19267	nan	nan	nan	0
168	19375	nan	nan	nan	0
169	19483	nan	nan	nan	0
170	19591	nan	nan	nan	0
171	19699	nan	nan	nan	0
172	19807	nan	nan	nan	0
173	19915	nan	nan	nan	0
174	20023	nan	nan	nan	0
175	20131	nan	nan	nan	0
176	20239	nan	nan	nan	0
177	20347	nan	nan	nan	0
178	20455	nan	nan	nan	0
179	20563	nan	nan	nan	0
180	20671	nan	nan	nan	0
181	20779	nan	nan	nan	0
182	20887	nan	nan	nan	0
183	20995	nan	nan	nan	0
184	21103	nan	nan	nan	0
185	21211	nan	nan	nan	0
186	21319	nan	nan	nan	0
187	21427	nan	nan	nan	0
188	21535	nan	nan	nan	0
189	21643	nan	nan	nan	0
190	21751	nan	nan	nan	0
191	21859	nan	nan	nan	0
192	21967	nan	nan	nan	0
193	22075	nan	nan	nan	0
194	22183	nan	nan	nan	0
195	22291	nan	nan	nan	0
196	22399	nan	nan	nan	0
197	22507	nan	nan	nan	0
