Номер пакета	Время	acc_X	acc_Y	acc_Z	gyro_X	gyro_Y	gyro_Z	mag_X	mag_Y	mag_Z	Лидар
0	0	-249	-609	1949	-558	120	46	-85	-172	779	20
1	1251	-289	-1024	1853	-72	-73	-30	-76	-103	788	20
2	1579	-289	-1024	1853	-72	-73	-30	-76	-103	788	20
3	1579	-278	-1053	1813	-63	-69	-73	-74	-110	782	20
4	1594	-265	-1042	1783	-78	-61	-130	-74	-110	782	20
5	1600	-265	-1042	1783	-78	-61	-130	-79	-103	779	20
6	1600	-257	-1019	1782	-104	-39	-182	-79	-103	779	20
7	1614	-243	-987	1794	-122	-6	-224	-77	-103	789	20
8	1619	-243	-987	1794	-122	-6	-224	-77	-103	789	20
9	1620	-233	-965	1802	-130	17	-246	-75	-105	790	20
10	1633	-223	-958	1796	-135	28	-248	-75	-105	790	20
11	1634	-221	-965	1764	-140	50	-251	-72	-97	788	20
12	1648	-221	-965	1764	-140	50	-251	-70	-101	794	20
13	1654	-212	-974	1749	-157	80	-259	-70	-101	794	20
14	1655	-202	-984	1748	-178	115	-277	-63	-99	789	20
15	1669	-172	-1010	1722	-197	153	-315	-63	-99	789	20
16	1669	-172	-1010	1722	-197	153	-315	-68	-98	788	20
17	1675	-192	-1002	1697	-221	207	-383	-68	-98	788	20
18	1691	-212	-981	1711	-256	263	-449	-62	-91	788	20
19	1697	-212	-981	1711	-256	263	-449	-62	-91	788	20
20	1697	-231	-950	1715	-288	304	-479	-75	-85	782	20
21	1712	-229	-958	1746	-300	332	-493	-75	-85	782	20
22	1712	-235	-942	1743	-304	356	-510	-56	-88	786	20
23	1726	-235	-942	1743	-304	356	-510	-51	-80	789	20
24	1732	-233	-951	1707	-336	377	-538	-51	-80	789	20
25	1733	-260	-947	1709	-404	402	-568	-51	-83	784	20
26	1747	-270	-971	1711	-467	429	-602	-51	-83	784	20
27	1747	-270	-971	1711	-513	443	-639	-56	-73	790	20
28	1761	-285	-974	1691	-513	443	-639	-56	-73	790	20
29	1767	-277	-981	1701	-545	439	-662	-59	-64	781	20
30	1768	-278	-1010	1694	-541	423	-673	-53	-64	788	20
31	1785	-260	-1060	1652	-484	398	-688	-53	-64	788	20
32	1785	-235	-1116	1618	-404	389	-723	-47	-61	783	20
33	1800	-235	-1116	1618	-404	389	-723	-47	-61	783	20
34	1807	-189	-1164	1576	-336	406	-785	-38	-55	784	20
35	1807	-127	-1254	1530	-260	436	-903	-32	-55	799	20
36	1821	-127	-1254	1530	-260	436	-903	-32	-55	799	20
37	1826	-115	-1238	1439	-213	483	-1098	-32	-55	799	20
38	1827	-189	-1160	1361	-280	558	-1267	-34	-47	795	20
