Номер пакета	Время	acc_X	acc_Y	acc_Z	gyro_X	gyro_Y	gyro_Z	mag_X	mag_Y	mag_Z	Лидар
22542	349114	302	-1158	-1647	-24	49	16	160	508	1673	11521
22550	349240	284	-1163	-1633	35	-46	13	166	506	1669	11521
22557	349348	284	-1149	-1641	75	-38	-12	173	509	1662	11521
22577	349654	261	-1224	-1606	168	-54	-71	165	525	1645	11521
22621	350335	197	-1397	-1425	133	-103	-53	183	603	1569	11521
22623	350365	171	-1389	-1395	48	-39	-40	179	603	1560	11521
22628	350443	210	-1405	-1442	-75	29	41	186	603	1563	11521
22636	350566	188	-1385	-1466	-301	209	-22	179	582	1605	11521
22637	350581	189	-1406	-1482	-255	152	-56	173	582	1590	11521
22646	350719	300	-1255	-1526	-127	67	-185	146	556	1607	11521
22654	350842	312	-1275	-1518	-25	21	-129	121	550	1625	11521
