Номер пакета	Время	Широта	Долгота	Высота	fix GPS
3694	400.1830139160156	0.0	0.0	169.1999969482422	1
3695	400.2909851074219	-0.3797471523284912	0.6385400295257568	170.3000030517578	1
3697	400.5069885253906	-0.3797471523284912	0.6385400295257568	170.3000030517578	1
3698	400.614990234375	10811570.0	2000053.0	170.3000030517578	1
3699	400.7229919433594	10811570.0	2000053.0	170.3000030517578	1
3700	400.83099365234375	10811570.0	2000053.0	170.3000030517578	1
3701	400.9389953613281	10811570.0	2000053.0	170.3000030517578	1
3703	401.1549987792969	10811570.0	754060.8125	170.3000030517578	1
3704	401.26300048828125	10811570.0	754060.8125	170.3000030517578	1
3705	401.3710021972656	10811570.0	754063.1875	171.1999969482422	1
3706	401.47900390625	10811570.0	754063.1875	171.1999969482422	1
3707	401.5870056152344	10811570.0	2161353.5	171.1999969482422	1
3708	401.69500732421875	10811570.0	2161353.5	171.1999969482422	1
3709	401.8030090332031	10811570.0	2161353.5	171.1999969482422	1
3710	401.9110107421875	10811570.0	2161353.5	171.1999969482422	1
3711	402.0190124511719	10811570.0	2161353.5	171.1999969482422	1
3713	402.2349853515625	10811570.0	1056290.0	171.1999969482422	1
3714	402.3429870605469	10811569.0	1056291.125	171.6999969482422	1
3715	402.45098876953125	10811569.0	1056291.125	171.6999969482422	1
3716	402.5589904785156	10811569.0	1056291.125	171.6999969482422	1
3717	402.6669921875	10811569.0	1056291.125	171.6999969482422	1
3718	402.7749938964844	10811569.0	1056291.125	171.6999969482422	1
3719	402.88299560546875	10811569.0	1056291.125	171.6999969482422	1
3720	402.9909973144531	10811569.0	1056291.125	171.6999969482422	1
3721	403.0989990234375	10811569.0	1056291.125	171.6999969482422	1
3727	403.74700927734375	10811569.0	5639335.5	172.1999969482422	1
3730	404.0710144042969	10811569.0	2767113.0	172.1999969482422	1
3731	404.1789855957031	10811569.0	2767113.0	172.1999969482422	1
3732	404.2869873046875	10811569.0	2767113.0	172.1999969482422	1
3733	404.3949890136719	10811570.0	2767113.25	172.3000030517578	1
3734	404.50299072265625	10811570.0	2767113.25	172.3000030517578	1
3735	404.6109924316406	10811570.0	2767113.25	172.3000030517578	1
3736	404.718994140625	10811570.0	2767113.25	172.3000030517578	1
3737	404.8269958496094	10811570.0	2767113.25	172.3000030517578	1
3739	405.0429992675781	10811570.0	4867752.0	172.3000030517578	1
3740	405.1510009765625	10811570.0	4867752.0	172.3000030517578	1
3741	405.2590026855469	10811570.0	4867752.0	172.3000030517578	1
3743	405.4750061035156	10811572.0	4867751.0	172.1999969482422	1
3750	406.2309875488281	10811572.0	3447989.0	172.1999969482422	1
3751	406.3389892578125	10811572.0	3447989.0	172.1999969482422	1
3752	406.4469909667969	10811572.0	3073703.25	173.60000610351562	1
3753	406.55499267578125	10811572.0	3073703.25	173.60000610351562	1
3761	407.41900634765625	10811572.0	2176612.25	174.1999969482422	1
3764	407.7430114746094	10811572.0	2176612.25	174.1999969482422	1
3765	407.85101318359375	10811572.0	2176612.25	174.1999969482422	1
3766	407.9590148925781	10811572.0	2176612.25	174.1999969482422	1
3768	408.17498779296875	10811572.0	3294328.25	174.1999969482422	1
3769	408.2829895019531	10811572.0	3294328.25	174.1999969482422	1
3771	408.4989929199219	10811573.0	3021573.25	174.39999389648438	1
3772	408.60699462890625	10811573.0	3021573.25	174.39999389648438	1
3773	408.7149963378906	10811573.0	3021573.25	174.39999389648438	1
